,pandemic_infected,pandemic_recovered,pandemic_susceptible
132,6.25e-06,0.33770500000000003,0.65620125
133,3.75e-06,0.33771125,0.65620125
134,5e-06,0.33771875,0.6562
135,2.5e-06,0.33772875,0.6562
136,5e-06,0.33773125,0.6561975
137,6.25e-06,0.33774499999999996,0.656195
138,6.25e-06,0.3377525,0.656195
139,3.75e-06,0.337755,0.656195
140,3.75e-06,0.3377625,0.656195
141,5e-06,0.3377675,0.65619375
142,5e-06,0.337775,0.65619375
143,5e-06,0.33777875,0.65619375
144,5e-06,0.33778,0.65619375
145,3.75e-06,0.3377875,0.6561925000000001
146,1.25e-06,0.33779125,0.6561925000000001
147,0.000625,1.25e-06,0.99937125
148,0.00073625,5.125e-05,0.9991375
149,0.0010025000000000001,0.00012749999999999998,0.9987
150,0.00143875,0.00023999999999999998,0.9979875
151,0.00233125,0.00039875,0.99672375
152,0.00419,0.00069875,0.99418375
153,0.0074075,0.0011949999999999999,0.98985
154,0.01250875,0.0020225,0.9828450000000001
155,0.01912125,0.0033924999999999997,0.97312125
156,0.026389999999999997,0.00533875,0.9614174999999999
157,0.033464999999999995,0.00804,0.94848625
158,0.03958625,0.011595000000000001,0.9351075000000001
159,0.04497375,0.01570125,0.92141625
160,0.049475,0.020452500000000002,0.9074825000000001
161,0.05401875,0.02583625,0.89283375
162,0.05767875,0.0318025,0.878065
163,0.06095,0.03849625,0.86294125
164,0.0639325,0.04576,0.8474950000000001
165,0.06667625,0.053505,0.83191875
166,0.06862375,0.061957500000000006,0.81649375
167,0.0701675,0.07062625,0.80134375
168,0.07063125,0.07979,0.7867575
169,0.07071749999999999,0.08927,0.77267375
170,0.07008125,0.09880375,0.7595274999999999
171,0.068905,0.10874249999999999,0.74702375
172,0.06721125,0.11893625,0.73527875
173,0.06522875,0.1292625,0.72409875
174,0.0629525,0.13934375,0.713675
175,0.06094125,0.14937125,0.70358375
176,0.0583025,0.1595675,0.69420875
177,0.05547125,0.1697575,0.6856025
178,0.05263375,0.1795925,0.6776025
179,0.05012125,0.189405,0.6698575
180,0.0475425,0.199155,0.66278
181,0.04498,0.2084,0.656125
182,0.0427475,0.21740500000000001,0.6497275
183,0.040535,0.22638375,0.6438475
184,0.0382625,0.23504,0.638205
185,0.036114999999999994,0.24353125,0.63299625
186,0.034405,0.25175,0.62793375
187,0.03236375,0.25960500000000003,0.6232925
188,0.03063875,0.26721999999999996,0.61886875
189,0.02882125,0.27453375,0.6148125
190,0.02717375,0.2819775,0.6109399999999999
191,0.02545625,0.289035,0.60738875
192,0.0240375,0.29576125,0.60401125
193,0.02265875,0.30220625,0.600845
194,0.02140125,0.30843375,0.5978275
195,0.02018,0.31436125,0.59496375
196,0.01892625,0.32025875,0.59229875
197,0.017755,0.32583,0.589875
198,0.0167625,0.331235,0.587475
199,0.01582375,0.33644,0.5851625
200,0.01491875,0.34142,0.58298125
201,0.01408375,0.34613375,0.5809850000000001
202,0.01325875,0.35075625,0.579125
203,0.01268,0.35517,0.57732125
204,0.01189875,0.35939499999999996,0.57560125
205,0.0111825,0.3633875,0.57404625
206,0.01056125,0.3671725,0.572515
207,0.00990375,0.3708475,0.5711324999999999
208,0.00938,0.3743725,0.56976375
209,0.00881,0.377705,0.56853125
210,0.00829125,0.3809125,0.56731375
211,0.00777375,0.38394875,0.5662475
212,0.00730875,0.3869375,0.5651875
213,0.00684125,0.38982625,0.5641550000000001
214,0.00648125,0.39246125,0.56316625
215,0.006220000000000001,0.39493875,0.56226375
216,0.00585375,0.3974475,0.56142125
