,traffic_speed_deltas,traffic_absolute_speed
0,-9.939999999999998,52.19
1,0.620000000000001,54.05
2,-0.620000000000001,47.22
3,22.37,47.22
4,-3.1099999999999994,47.22
5,-3.729999999999997,47.22
6,3.0999999999999943,47.22
7,-5.590000000000003,47.22
8,-7.450000000000003,47.22
9,0.6199999999999974,47.22
10,-0.6199999999999974,47.22
11,0.6199999999999974,47.22
12,2.480000000000004,47.22
13,-3.1000000000000014,47.22
14,-3.729999999999997,47.22
15,-10.559999999999999,47.22
16,14.91,47.22
17,-14.91,47.22
18,-3.1099999999999994,47.22
19,3.1099999999999994,51.57
20,-14.290000000000001,45.98
21,8.700000000000001,51.57
22,-11.81,51.57
23,-1.2399999999999949,48.46
24,4.969999999999999,48.46
25,-1.8700000000000045,25.47
26,0.6200000000000045,25.47
27,-9.939999999999998,26.71
28,9.939999999999998,23.61
29,-9.939999999999998,26.71
30,1.8599999999999994,23.61
31,-13.670000000000002,39.76
32,9.940000000000005,39.76
33,-1.8599999999999994,49.08
34,4.969999999999999,50.95
35,-0.6199999999999974,50.95
36,0.6199999999999974,18.01
37,-4.350000000000001,50.33
38,-1.8699999999999974,50.33
39,1.8699999999999974,55.3
40,14.290000000000006,48.46
41,-5.590000000000003,48.46
42,-3.729999999999997,41.01
43,14.909999999999997,41.01
44,-24.229999999999997,52.81
45,9.32,52.81
46,1.8599999999999994,45.98
47,22.369999999999997,45.98
48,19.89,50.95
49,6.830000000000005,36.03
50,-17.400000000000002,36.03
51,13.670000000000002,36.03
52,3.1000000000000014,36.03
53,-3.1000000000000014,36.03
54,-2.490000000000002,39.14
55,2.490000000000002,45.36
56,3.719999999999999,39.14
57,-1.8599999999999994,41.63
58,-5.589999999999996,41.63
59,-2.480000000000004,41.63
60,2.479999999999997,42.25
61,3.730000000000004,42.87
62,-4.350000000000001,42.87
63,4.350000000000001,47.84
64,-10.560000000000002,47.84
65,-3.1099999999999994,49.08
66,3.1099999999999994,51.57
67,1.8700000000000045,50.95
68,-11.810000000000002,50.95
