,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
78,2.0,6.0,4.0,14.0,6.0,7.0,5.0,8.0,10.0
79,0.0,2.0,3.0,6.0,7.0,6.0,3.0,2.0,12.0
80,3.0,8.0,11.0,13.0,5.0,5.0,3.0,3.0,24.0
81,3.0,8.0,11.0,10.0,4.0,8.0,2.0,9.0,13.0
82,1.0,14.0,6.0,8.0,2.0,5.0,0.0,5.0,5.0
83,4.0,3.0,14.0,15.0,6.0,5.0,6.0,7.0,13.0
84,4.0,9.0,8.0,14.0,8.0,7.0,8.0,7.0,11.0
85,5.0,8.0,13.0,16.0,6.0,4.0,3.0,6.0,13.0
86,4.0,7.0,7.0,12.0,7.0,2.0,3.0,9.0,22.0
87,6.0,10.0,10.0,13.0,4.0,7.0,11.0,4.0,21.0
88,6.0,11.0,10.0,10.0,4.0,6.0,5.0,6.0,14.0
89,3.0,8.0,7.0,15.0,6.0,5.0,4.0,2.0,13.0
90,6.0,11.0,13.0,16.0,5.0,4.0,3.0,3.0,11.0
91,2.0,6.0,13.0,16.0,8.0,7.0,4.0,4.0,15.0
92,2.0,5.0,10.0,13.0,10.0,6.0,5.0,5.0,17.0
93,2.0,10.0,14.0,7.0,16.0,7.0,9.0,3.0,20.0
94,1.0,12.0,6.0,13.0,7.0,5.0,8.0,8.0,16.0
95,2.0,13.0,13.0,7.0,2.0,8.0,5.0,7.0,17.0
96,4.0,11.0,10.0,14.0,11.0,8.0,7.0,6.0,14.0
97,2.0,13.0,14.0,17.0,8.0,8.0,6.0,7.0,14.0
98,2.0,9.0,14.0,7.0,2.0,3.0,3.0,6.0,17.0
99,3.0,10.0,15.0,13.0,4.0,10.0,4.0,5.0,17.0
100,2.0,4.0,10.0,11.0,1.0,8.0,4.0,8.0,6.0
101,1.0,3.0,7.0,15.0,6.0,5.0,5.0,9.0,7.0
102,1.0,13.0,12.0,14.0,12.0,8.0,6.0,4.0,17.0
103,2.0,12.0,12.0,12.0,5.0,4.0,8.0,3.0,17.0
104,4.0,9.0,9.0,13.0,5.0,9.0,5.0,8.0,14.0
105,3.0,5.0,11.0,11.0,3.0,2.0,4.0,4.0,18.0
106,9.0,9.0,8.0,15.0,8.0,3.0,8.0,3.0,17.0
107,3.0,8.0,12.0,12.0,6.0,5.0,4.0,5.0,18.0
108,2.0,14.0,11.0,17.0,6.0,4.0,8.0,6.0,14.0
109,4.0,15.0,9.0,17.0,12.0,16.0,2.0,3.0,17.0
110,4.0,7.0,9.0,10.0,10.0,9.0,5.0,9.0,18.0
111,0.0,10.0,12.0,7.0,7.0,5.0,3.0,3.0,21.0
112,2.0,9.0,14.0,18.0,8.0,6.0,5.0,8.0,11.0
113,5.0,14.0,12.0,13.0,9.0,5.0,10.0,9.0,11.0
114,1.0,8.0,6.0,17.0,9.0,8.0,6.0,12.0,8.0
115,5.0,13.0,9.0,21.0,5.0,9.0,2.0,8.0,20.0
116,6.0,5.0,10.0,15.0,5.0,4.0,4.0,4.0,17.0
117,5.0,10.0,14.0,11.0,8.0,6.0,6.0,2.0,26.0
118,3.0,7.0,13.0,11.0,11.0,5.0,4.0,6.0,13.0
119,2.0,9.0,14.0,12.0,8.0,9.0,2.0,7.0,14.0
120,0.0,8.0,10.0,10.0,5.0,3.0,1.0,3.0,21.0
121,2.0,8.0,17.0,12.0,7.0,3.0,4.0,8.0,10.0
122,2.0,10.0,13.0,16.0,7.0,10.0,10.0,10.0,9.0
123,6.0,8.0,14.0,15.0,8.0,9.0,6.0,4.0,16.0
124,6.0,4.0,11.0,9.0,4.0,9.0,3.0,7.0,12.0
125,4.0,10.0,15.0,6.0,11.0,10.0,6.0,9.0,17.0
126,2.0,13.0,11.0,11.0,7.0,10.0,4.0,8.0,15.0
127,3.0,9.0,8.0,11.0,4.0,5.0,3.0,8.0,13.0
128,2.0,12.0,16.0,8.0,7.0,7.0,5.0,5.0,14.0
129,2.0,14.0,15.0,11.0,6.0,9.0,4.0,4.0,24.0
130,4.0,3.0,12.0,12.0,8.0,4.0,7.0,6.0,30.0
131,3.0,5.0,14.0,11.0,6.0,7.0,2.0,4.0,13.0
132,3.0,14.0,17.0,14.0,6.0,1.0,2.0,8.0,12.0
133,4.0,8.0,14.0,12.0,3.0,9.0,4.0,6.0,16.0
134,3.0,8.0,9.0,11.0,3.0,5.0,0.0,3.0,20.0
135,1.0,11.0,12.0,11.0,5.0,7.0,7.0,7.0,19.0
136,3.0,7.0,10.0,12.0,5.0,5.0,3.0,12.0,24.0
137,6.0,10.0,11.0,9.0,2.0,5.0,7.0,9.0,26.0
138,2.0,8.0,11.0,11.0,10.0,8.0,3.0,2.0,12.0
139,2.0,13.0,14.0,15.0,9.0,7.0,4.0,7.0,13.0
140,1.0,9.0,8.0,13.0,7.0,3.0,5.0,7.0,14.0
141,2.0,7.0,11.0,13.0,5.0,3.0,3.0,5.0,19.0
142,5.0,11.0,11.0,10.0,5.0,10.0,3.0,5.0,11.0
143,5.0,8.0,13.0,10.0,5.0,5.0,3.0,5.0,18.0
144,3.0,3.0,11.0,6.0,5.0,8.0,4.0,3.0,18.0
145,4.0,10.0,10.0,12.0,7.0,7.0,6.0,6.0,19.0
146,1.0,10.0,7.0,11.0,4.0,6.0,2.0,6.0,15.0
147,1.0,7.0,9.0,10.0,9.0,4.0,2.0,4.0,17.0
148,5.0,5.0,12.0,14.0,7.0,6.0,5.0,2.0,17.0
149,3.0,13.0,15.0,6.0,3.0,7.0,4.0,8.0,18.0
150,4.0,10.0,9.0,11.0,4.0,5.0,6.0,4.0,13.0
151,3.0,16.0,13.0,7.0,7.0,6.0,3.0,7.0,15.0
152,2.0,8.0,10.0,17.0,4.0,7.0,2.0,6.0,13.0
153,2.0,8.0,13.0,19.0,7.0,10.0,10.0,7.0,12.0
154,2.0,8.0,10.0,21.0,7.0,7.0,4.0,8.0,15.0
155,2.0,9.0,8.0,16.0,7.0,9.0,7.0,5.0,18.0
156,5.0,5.0,10.0,18.0,6.0,4.0,6.0,5.0,18.0
157,4.0,9.0,12.0,13.0,3.0,4.0,10.0,4.0,18.0
158,6.0,10.0,14.0,14.0,6.0,9.0,10.0,5.0,23.0
159,4.0,4.0,11.0,5.0,3.0,6.0,8.0,6.0,20.0
160,2.0,9.0,17.0,14.0,8.0,6.0,6.0,10.0,19.0
161,1.0,13.0,12.0,17.0,5.0,9.0,2.0,5.0,23.0
162,3.0,11.0,15.0,7.0,9.0,8.0,4.0,10.0,26.0
163,3.0,9.0,9.0,16.0,9.0,15.0,10.0,11.0,15.0
164,4.0,9.0,14.0,13.0,4.0,5.0,5.0,5.0,16.0
165,4.0,7.0,17.0,13.0,9.0,7.0,7.0,3.0,23.0
166,3.0,8.0,12.0,9.0,6.0,7.0,8.0,9.0,18.0
167,4.0,14.0,13.0,17.0,6.0,6.0,4.0,5.0,13.0
168,3.0,11.0,15.0,14.0,7.0,10.0,2.0,8.0,18.0
169,1.0,13.0,4.0,16.0,5.0,8.0,11.0,7.0,14.0
170,1.0,11.0,12.0,15.0,8.0,5.0,5.0,6.0,21.0
171,5.0,5.0,10.0,18.0,11.0,5.0,8.0,7.0,20.0
172,2.0,13.0,14.0,17.0,8.0,5.0,1.0,9.0,19.0
173,5.0,10.0,9.0,9.0,8.0,13.0,2.0,9.0,13.0
174,5.0,8.0,10.0,11.0,11.0,11.0,11.0,6.0,14.0
175,5.0,8.0,23.0,13.0,6.0,4.0,6.0,7.0,23.0
176,4.0,8.0,15.0,14.0,6.0,7.0,4.0,7.0,19.0
177,1.0,13.0,21.0,11.0,12.0,7.0,7.0,11.0,10.0
178,2.0,11.0,14.0,11.0,6.0,8.0,2.0,6.0,20.0
179,3.0,10.0,13.0,16.0,6.0,6.0,4.0,8.0,19.0
180,6.0,16.0,12.0,18.0,5.0,7.0,2.0,14.0,12.0
181,1.0,11.0,8.0,14.0,8.0,8.0,8.0,11.0,13.0
