,emojitracker-twitter-smiling_cat_face_with_open_mouth,emojitracker-twitter-crying_cat_face,emojitracker-twitter-cat_face_with_wry_smile,emojitracker-twitter-cat_face_with_tears_of_joy,emojitracker-twitter-cat_face,emojitracker-twitter-kissing_cat_face_with_closed_eyes,emojitracker-twitter-grinning_cat_face_with_smiling_eyes,emojitracker-twitter-pouting_cat_face,emojitracker-twitter-smiling_cat_face_with_heart-shaped_eyes
339,5.0,9.0,16.0,18.0,5.0,10.0,7.0,10.0,14.0
340,5.0,23.0,14.0,16.0,6.0,13.0,6.0,11.0,24.0
341,7.0,10.0,18.0,20.0,10.0,6.0,3.0,10.0,23.0
342,8.0,15.0,16.0,18.0,8.0,11.0,5.0,12.0,28.0
343,8.0,12.0,16.0,17.0,6.0,6.0,5.0,8.0,21.0
344,5.0,11.0,15.0,20.0,4.0,9.0,3.0,10.0,20.0
345,3.0,27.0,23.0,14.0,7.0,12.0,5.0,6.0,16.0
346,3.0,16.0,18.0,19.0,7.0,5.0,11.0,11.0,17.0
347,3.0,12.0,28.0,15.0,9.0,9.0,9.0,10.0,21.0
348,7.0,14.0,11.0,24.0,6.0,6.0,6.0,11.0,29.0
349,6.0,19.0,15.0,22.0,6.0,9.0,12.0,9.0,19.0
350,3.0,9.0,12.0,19.0,4.0,7.0,5.0,2.0,31.0
351,6.0,18.0,17.0,17.0,2.0,13.0,4.0,10.0,27.0
352,8.0,15.0,17.0,18.0,6.0,10.0,5.0,17.0,26.0
353,8.0,12.0,22.0,18.0,6.0,6.0,7.0,11.0,21.0
354,5.0,10.0,22.0,10.0,10.0,9.0,6.0,9.0,16.0
355,7.0,18.0,16.0,18.0,8.0,14.0,6.0,10.0,23.0
356,6.0,11.0,17.0,18.0,5.0,13.0,8.0,16.0,27.0
357,4.0,13.0,20.0,17.0,6.0,7.0,13.0,18.0,33.0
358,2.0,14.0,17.0,17.0,6.0,8.0,12.0,7.0,30.0
359,6.0,9.0,21.0,27.0,8.0,18.0,12.0,8.0,19.0
360,6.0,14.0,28.0,13.0,9.0,8.0,3.0,9.0,28.0
361,6.0,17.0,18.0,17.0,14.0,11.0,6.0,13.0,17.0
362,6.0,19.0,22.0,18.0,10.0,5.0,6.0,15.0,26.0
363,5.0,11.0,26.0,16.0,5.0,8.0,5.0,12.0,21.0
364,5.0,13.0,24.0,20.0,10.0,6.0,8.0,8.0,31.0
365,7.0,17.0,19.0,22.0,7.0,9.0,9.0,10.0,15.0
366,7.0,14.0,12.0,21.0,11.0,12.0,5.0,5.0,21.0
367,3.0,16.0,14.0,10.0,7.0,12.0,7.0,11.0,26.0
368,6.0,10.0,18.0,26.0,14.0,11.0,10.0,11.0,30.0
369,4.0,13.0,20.0,23.0,4.0,7.0,6.0,10.0,20.0
370,5.0,15.0,16.0,19.0,7.0,4.0,7.0,11.0,21.0
371,8.0,17.0,25.0,24.0,6.0,13.0,6.0,15.0,23.0
372,8.0,15.0,21.0,16.0,6.0,14.0,10.0,8.0,30.0
373,4.0,10.0,14.0,15.0,6.0,13.0,7.0,9.0,19.0
374,0.0,10.0,23.0,22.0,5.0,8.0,10.0,8.0,23.0
375,4.0,12.0,20.0,20.0,7.0,6.0,4.0,11.0,29.0
376,2.0,13.0,27.0,21.0,8.0,10.0,7.0,7.0,22.0
377,6.0,6.0,14.0,19.0,5.0,12.0,5.0,13.0,21.0
378,6.0,4.0,19.0,16.0,4.0,5.0,8.0,8.0,25.0
379,7.0,12.0,29.0,23.0,3.0,7.0,6.0,8.0,29.0
380,5.0,13.0,25.0,15.0,8.0,8.0,10.0,10.0,29.0
381,5.0,16.0,23.0,21.0,7.0,12.0,9.0,6.0,31.0
382,4.0,10.0,24.0,23.0,6.0,9.0,9.0,14.0,28.0
383,4.0,19.0,14.0,23.0,10.0,13.0,5.0,9.0,23.0
384,2.0,17.0,23.0,18.0,4.0,8.0,3.0,6.0,23.0
385,5.0,9.0,18.0,24.0,7.0,9.0,10.0,10.0,20.0
386,3.0,10.0,19.0,14.0,13.0,4.0,8.0,11.0,11.0
387,6.0,8.0,15.0,14.0,12.0,9.0,4.0,11.0,22.0
388,1.0,16.0,15.0,26.0,6.0,9.0,7.0,4.0,26.0
389,6.0,16.0,25.0,20.0,7.0,11.0,4.0,12.0,19.0
390,4.0,14.0,14.0,20.0,7.0,6.0,6.0,5.0,15.0
391,2.0,10.0,12.0,21.0,4.0,17.0,4.0,10.0,24.0
392,5.0,18.0,21.0,23.0,15.0,8.0,4.0,11.0,31.0
393,2.0,13.0,11.0,16.0,5.0,9.0,5.0,6.0,27.0
394,5.0,17.0,18.0,23.0,6.0,5.0,6.0,10.0,28.0
395,1.0,11.0,21.0,17.0,6.0,6.0,4.0,8.0,35.0
396,6.0,9.0,19.0,19.0,5.0,8.0,6.0,13.0,23.0
397,4.0,23.0,11.0,14.0,3.0,10.0,6.0,13.0,20.0
398,2.0,12.0,20.0,13.0,10.0,5.0,3.0,8.0,27.0
399,2.0,19.0,24.0,20.0,7.0,8.0,8.0,8.0,19.0
400,2.0,21.0,14.0,21.0,9.0,6.0,9.0,11.0,26.0
401,6.0,19.0,14.0,20.0,5.0,8.0,10.0,8.0,19.0
402,9.0,14.0,16.0,20.0,9.0,11.0,7.0,9.0,28.0
403,2.0,6.0,24.0,15.0,4.0,9.0,9.0,10.0,21.0
404,3.0,15.0,14.0,24.0,6.0,12.0,6.0,9.0,19.0
405,5.0,12.0,10.0,10.0,3.0,18.0,7.0,13.0,27.0
406,7.0,7.0,23.0,16.0,11.0,11.0,3.0,4.0,23.0
407,8.0,15.0,10.0,18.0,6.0,9.0,1.0,7.0,22.0
408,5.0,22.0,24.0,16.0,15.0,17.0,10.0,10.0,24.0
409,2.0,24.0,17.0,16.0,6.0,11.0,4.0,10.0,25.0
410,5.0,13.0,18.0,12.0,6.0,5.0,6.0,13.0,28.0
411,3.0,13.0,16.0,20.0,5.0,17.0,7.0,17.0,25.0
412,4.0,21.0,21.0,19.0,12.0,11.0,1.0,14.0,21.0
413,4.0,13.0,22.0,25.0,5.0,10.0,6.0,13.0,22.0
414,4.0,23.0,26.0,14.0,2.0,13.0,3.0,8.0,13.0
415,3.0,20.0,13.0,20.0,15.0,14.0,11.0,12.0,31.0
416,1.0,23.0,21.0,20.0,7.0,8.0,8.0,9.0,22.0
417,2.0,16.0,23.0,20.0,5.0,15.0,5.0,12.0,19.0
418,3.0,21.0,19.0,21.0,7.0,11.0,4.0,6.0,26.0
419,4.0,18.0,13.0,16.0,6.0,12.0,6.0,10.0,12.0
420,5.0,18.0,21.0,22.0,7.0,11.0,4.0,5.0,25.0
421,1.0,20.0,19.0,22.0,12.0,13.0,10.0,9.0,33.0
422,4.0,12.0,28.0,11.0,5.0,9.0,4.0,8.0,21.0
423,5.0,15.0,19.0,22.0,5.0,10.0,5.0,5.0,25.0
424,0.0,16.0,18.0,16.0,7.0,6.0,4.0,6.0,17.0
425,4.0,9.0,20.0,21.0,6.0,7.0,10.0,8.0,26.0
426,2.0,14.0,21.0,16.0,8.0,4.0,7.0,9.0,30.0
427,4.0,14.0,21.0,13.0,6.0,13.0,7.0,5.0,23.0
428,4.0,18.0,16.0,20.0,5.0,11.0,2.0,11.0,24.0
429,9.0,10.0,15.0,17.0,8.0,7.0,5.0,8.0,16.0
430,2.0,15.0,21.0,15.0,7.0,7.0,6.0,10.0,15.0
431,2.0,9.0,30.0,21.0,4.0,5.0,2.0,9.0,21.0
432,6.0,21.0,13.0,17.0,4.0,9.0,15.0,6.0,29.0
433,7.0,11.0,17.0,19.0,9.0,3.0,9.0,9.0,26.0
434,2.0,12.0,16.0,22.0,9.0,9.0,7.0,11.0,17.0
435,6.0,10.0,11.0,10.0,7.0,10.0,6.0,11.0,24.0
436,4.0,21.0,20.0,23.0,4.0,6.0,5.0,12.0,23.0
437,8.0,11.0,14.0,13.0,5.0,7.0,3.0,5.0,26.0
438,4.0,11.0,17.0,16.0,5.0,7.0,9.0,7.0,18.0
439,4.0,12.0,11.0,17.0,8.0,9.0,8.0,7.0,17.0
440,2.0,9.0,19.0,25.0,5.0,4.0,4.0,5.0,20.0
441,1.0,12.0,15.0,20.0,5.0,7.0,4.0,13.0,17.0
442,6.0,11.0,18.0,13.0,10.0,7.0,4.0,12.0,22.0
443,6.0,13.0,21.0,16.0,6.0,7.0,4.0,7.0,26.0
444,6.0,20.0,18.0,25.0,8.0,6.0,7.0,7.0,21.0
445,3.0,17.0,15.0,17.0,5.0,10.0,10.0,5.0,22.0
446,8.0,16.0,15.0,24.0,10.0,7.0,8.0,9.0,29.0
447,5.0,18.0,23.0,20.0,7.0,10.0,10.0,6.0,22.0
448,5.0,14.0,21.0,11.0,3.0,10.0,4.0,9.0,22.0
449,3.0,15.0,19.0,21.0,6.0,4.0,5.0,10.0,26.0
450,4.0,17.0,14.0,19.0,6.0,13.0,6.0,11.0,26.0
451,4.0,10.0,20.0,24.0,10.0,8.0,8.0,9.0,19.0
452,5.0,12.0,14.0,17.0,6.0,10.0,6.0,10.0,15.0
453,3.0,12.0,22.0,13.0,3.0,8.0,8.0,4.0,22.0
454,3.0,13.0,17.0,22.0,2.0,4.0,3.0,7.0,19.0
455,2.0,13.0,17.0,30.0,6.0,7.0,5.0,7.0,24.0
456,8.0,10.0,25.0,21.0,9.0,9.0,6.0,12.0,22.0
457,6.0,11.0,24.0,22.0,5.0,9.0,9.0,14.0,18.0
458,7.0,16.0,16.0,12.0,3.0,7.0,8.0,4.0,17.0
459,3.0,24.0,22.0,18.0,5.0,7.0,7.0,6.0,15.0
460,3.0,17.0,15.0,21.0,3.0,11.0,6.0,10.0,14.0
461,1.0,16.0,30.0,15.0,4.0,34.0,6.0,10.0,23.0
462,5.0,11.0,18.0,17.0,7.0,9.0,6.0,5.0,27.0
463,1.0,13.0,15.0,22.0,6.0,9.0,4.0,12.0,22.0
464,7.0,13.0,21.0,10.0,4.0,6.0,8.0,10.0,28.0
465,2.0,11.0,15.0,17.0,9.0,13.0,4.0,12.0,23.0
466,3.0,8.0,18.0,21.0,3.0,5.0,5.0,7.0,14.0
467,2.0,13.0,15.0,28.0,1.0,5.0,7.0,11.0,25.0
468,7.0,14.0,16.0,19.0,11.0,11.0,6.0,15.0,29.0
469,3.0,12.0,22.0,16.0,1.0,2.0,12.0,12.0,23.0
470,3.0,9.0,18.0,18.0,7.0,10.0,4.0,7.0,26.0
471,4.0,13.0,17.0,14.0,5.0,11.0,5.0,6.0,21.0
472,7.0,16.0,14.0,10.0,3.0,7.0,7.0,7.0,23.0
473,5.0,10.0,17.0,17.0,4.0,12.0,8.0,9.0,21.0
474,2.0,12.0,21.0,28.0,6.0,10.0,4.0,5.0,19.0
475,2.0,15.0,14.0,21.0,10.0,10.0,6.0,12.0,16.0
476,1.0,19.0,15.0,23.0,2.0,3.0,5.0,9.0,21.0
477,3.0,10.0,21.0,24.0,6.0,7.0,3.0,16.0,27.0
478,4.0,14.0,12.0,17.0,8.0,9.0,7.0,5.0,26.0
479,4.0,19.0,16.0,36.0,6.0,11.0,8.0,4.0,25.0
480,2.0,14.0,19.0,22.0,11.0,6.0,3.0,6.0,24.0
481,8.0,18.0,20.0,16.0,6.0,6.0,3.0,11.0,21.0
482,5.0,9.0,13.0,21.0,7.0,6.0,6.0,7.0,24.0
483,3.0,9.0,12.0,17.0,6.0,7.0,7.0,8.0,28.0
484,8.0,17.0,24.0,16.0,6.0,4.0,4.0,7.0,17.0
485,8.0,21.0,17.0,20.0,7.0,9.0,10.0,7.0,25.0
486,3.0,21.0,15.0,16.0,1.0,6.0,7.0,7.0,20.0
487,5.0,10.0,24.0,21.0,8.0,6.0,4.0,5.0,13.0
488,2.0,15.0,15.0,19.0,7.0,5.0,5.0,9.0,17.0
489,3.0,11.0,23.0,24.0,3.0,5.0,2.0,5.0,30.0
490,4.0,14.0,20.0,24.0,7.0,11.0,8.0,7.0,13.0
491,3.0,22.0,18.0,15.0,5.0,17.0,8.0,3.0,14.0
492,2.0,16.0,14.0,22.0,5.0,15.0,9.0,7.0,16.0
493,1.0,14.0,17.0,14.0,6.0,6.0,9.0,9.0,16.0
494,6.0,13.0,21.0,27.0,8.0,8.0,8.0,7.0,15.0
495,2.0,15.0,16.0,21.0,7.0,12.0,9.0,8.0,22.0
496,3.0,12.0,20.0,20.0,7.0,7.0,5.0,9.0,22.0
497,5.0,13.0,34.0,20.0,6.0,4.0,7.0,7.0,33.0
498,2.0,11.0,15.0,24.0,12.0,4.0,8.0,14.0,15.0
499,4.0,5.0,8.0,24.0,7.0,4.0,4.0,5.0,26.0
500,6.0,13.0,15.0,16.0,8.0,6.0,6.0,14.0,33.0
501,4.0,10.0,24.0,16.0,5.0,13.0,9.0,11.0,26.0
502,5.0,10.0,13.0,15.0,5.0,11.0,13.0,8.0,16.0
503,4.0,16.0,26.0,17.0,5.0,6.0,7.0,8.0,27.0
504,3.0,10.0,22.0,31.0,4.0,7.0,7.0,7.0,25.0
505,2.0,11.0,13.0,27.0,7.0,5.0,14.0,11.0,21.0
506,3.0,15.0,22.0,17.0,4.0,13.0,7.0,8.0,20.0
507,5.0,8.0,22.0,25.0,3.0,6.0,4.0,14.0,22.0
508,3.0,12.0,16.0,25.0,6.0,8.0,6.0,10.0,23.0
509,5.0,13.0,14.0,27.0,9.0,5.0,6.0,5.0,24.0
510,6.0,3.0,20.0,16.0,10.0,5.0,6.0,13.0,19.0
511,4.0,22.0,19.0,20.0,6.0,4.0,9.0,5.0,17.0
512,1.0,9.0,18.0,27.0,3.0,6.0,6.0,5.0,24.0
513,4.0,16.0,18.0,25.0,6.0,9.0,7.0,4.0,23.0
514,4.0,6.0,16.0,15.0,8.0,17.0,6.0,2.0,28.0
515,5.0,14.0,30.0,16.0,4.0,10.0,9.0,9.0,20.0
516,11.0,13.0,23.0,11.0,7.0,8.0,5.0,12.0,30.0
517,6.0,15.0,18.0,19.0,9.0,3.0,7.0,6.0,15.0
518,3.0,14.0,27.0,13.0,6.0,1.0,2.0,10.0,23.0
519,3.0,14.0,11.0,12.0,3.0,7.0,2.0,12.0,17.0
520,1.0,9.0,17.0,17.0,5.0,7.0,5.0,8.0,18.0
521,6.0,14.0,21.0,12.0,4.0,8.0,3.0,9.0,16.0
522,2.0,12.0,23.0,21.0,9.0,10.0,6.0,9.0,15.0
523,6.0,8.0,15.0,23.0,5.0,7.0,5.0,7.0,24.0
524,7.0,7.0,17.0,14.0,4.0,5.0,4.0,12.0,18.0
525,2.0,9.0,12.0,28.0,3.0,6.0,5.0,11.0,26.0
526,8.0,14.0,20.0,14.0,5.0,12.0,1.0,3.0,27.0
527,5.0,18.0,14.0,18.0,3.0,6.0,6.0,4.0,24.0
528,6.0,8.0,21.0,16.0,2.0,10.0,6.0,9.0,17.0
529,2.0,11.0,12.0,24.0,4.0,11.0,4.0,4.0,15.0
530,1.0,10.0,13.0,23.0,2.0,10.0,4.0,5.0,22.0
531,1.0,14.0,18.0,28.0,7.0,8.0,6.0,7.0,18.0
532,2.0,13.0,14.0,19.0,4.0,12.0,6.0,7.0,17.0
533,5.0,6.0,16.0,19.0,4.0,6.0,6.0,6.0,25.0
534,1.0,11.0,20.0,14.0,1.0,6.0,8.0,7.0,23.0
535,7.0,7.0,23.0,18.0,2.0,3.0,9.0,12.0,29.0
536,9.0,12.0,17.0,19.0,8.0,4.0,6.0,6.0,24.0
537,4.0,10.0,16.0,23.0,7.0,8.0,10.0,7.0,22.0
538,2.0,8.0,19.0,15.0,4.0,10.0,7.0,6.0,22.0
539,3.0,7.0,10.0,23.0,3.0,7.0,4.0,6.0,23.0
540,3.0,8.0,10.0,15.0,5.0,3.0,9.0,7.0,16.0
541,4.0,17.0,10.0,20.0,7.0,7.0,6.0,8.0,22.0
542,2.0,10.0,12.0,22.0,8.0,9.0,7.0,8.0,19.0
543,4.0,17.0,13.0,17.0,6.0,5.0,6.0,8.0,20.0
544,2.0,13.0,9.0,7.0,5.0,5.0,7.0,11.0,15.0
545,5.0,17.0,14.0,11.0,5.0,7.0,2.0,4.0,18.0
546,6.0,11.0,18.0,26.0,9.0,7.0,8.0,9.0,26.0
547,3.0,12.0,17.0,19.0,8.0,4.0,5.0,6.0,34.0
548,0.0,16.0,15.0,15.0,8.0,8.0,5.0,17.0,26.0
549,4.0,17.0,14.0,16.0,6.0,3.0,8.0,8.0,20.0
550,4.0,16.0,13.0,28.0,8.0,7.0,14.0,9.0,24.0
551,3.0,13.0,15.0,14.0,1.0,4.0,8.0,7.0,19.0
552,2.0,12.0,17.0,18.0,8.0,6.0,5.0,7.0,21.0
553,3.0,12.0,15.0,29.0,8.0,8.0,5.0,5.0,20.0
554,4.0,12.0,19.0,29.0,4.0,10.0,2.0,9.0,15.0
555,3.0,14.0,14.0,18.0,7.0,7.0,4.0,7.0,13.0
556,3.0,10.0,19.0,12.0,8.0,10.0,8.0,7.0,15.0
557,5.0,9.0,18.0,19.0,7.0,5.0,10.0,9.0,23.0
558,2.0,9.0,23.0,18.0,10.0,10.0,3.0,7.0,22.0
559,4.0,13.0,19.0,22.0,7.0,5.0,7.0,3.0,24.0
560,1.0,12.0,12.0,17.0,6.0,7.0,4.0,9.0,25.0
561,3.0,18.0,21.0,21.0,10.0,9.0,4.0,8.0,18.0
562,3.0,10.0,16.0,13.0,7.0,4.0,10.0,9.0,17.0
563,0.0,9.0,20.0,15.0,4.0,9.0,9.0,4.0,23.0
564,4.0,8.0,17.0,20.0,2.0,4.0,2.0,4.0,16.0
565,3.0,19.0,9.0,19.0,2.0,9.0,4.0,2.0,25.0
566,5.0,12.0,12.0,18.0,2.0,6.0,7.0,13.0,18.0
567,5.0,11.0,12.0,13.0,6.0,12.0,6.0,7.0,25.0
568,2.0,9.0,19.0,17.0,4.0,9.0,6.0,3.0,20.0
569,4.0,11.0,20.0,15.0,1.0,10.0,6.0,5.0,22.0
570,5.0,8.0,22.0,17.0,7.0,9.0,7.0,4.0,17.0
571,4.0,16.0,16.0,22.0,3.0,11.0,4.0,6.0,15.0
572,4.0,13.0,13.0,14.0,4.0,5.0,6.0,11.0,20.0
573,3.0,11.0,18.0,12.0,9.0,11.0,8.0,10.0,18.0
574,5.0,11.0,15.0,23.0,5.0,13.0,7.0,7.0,16.0
575,2.0,12.0,28.0,16.0,6.0,8.0,7.0,8.0,19.0
576,2.0,15.0,22.0,18.0,1.0,3.0,5.0,6.0,22.0
577,8.0,18.0,19.0,18.0,7.0,8.0,7.0,10.0,16.0
578,6.0,11.0,20.0,32.0,6.0,5.0,7.0,8.0,15.0
579,2.0,2.0,24.0,19.0,3.0,1.0,3.0,7.0,17.0
580,3.0,14.0,18.0,12.0,7.0,3.0,4.0,5.0,19.0
581,5.0,15.0,14.0,18.0,5.0,1.0,5.0,3.0,23.0
582,5.0,8.0,20.0,20.0,6.0,3.0,2.0,3.0,23.0
583,6.0,7.0,17.0,17.0,11.0,7.0,4.0,8.0,24.0
584,4.0,10.0,14.0,11.0,3.0,6.0,6.0,4.0,23.0
585,7.0,12.0,19.0,14.0,4.0,9.0,5.0,3.0,23.0
586,6.0,15.0,20.0,25.0,3.0,12.0,6.0,6.0,16.0
587,6.0,12.0,25.0,15.0,4.0,6.0,12.0,10.0,18.0
588,6.0,12.0,19.0,15.0,8.0,8.0,3.0,14.0,23.0
589,7.0,7.0,23.0,15.0,4.0,7.0,5.0,4.0,20.0
590,4.0,10.0,28.0,16.0,5.0,8.0,2.0,11.0,22.0
591,3.0,9.0,13.0,21.0,3.0,12.0,6.0,7.0,23.0
592,6.0,4.0,15.0,27.0,4.0,7.0,3.0,3.0,15.0
593,1.0,10.0,22.0,18.0,4.0,9.0,3.0,5.0,23.0
594,2.0,12.0,22.0,17.0,6.0,14.0,3.0,3.0,26.0
595,7.0,13.0,14.0,23.0,4.0,6.0,5.0,3.0,20.0
596,3.0,13.0,19.0,13.0,5.0,9.0,2.0,7.0,20.0
597,5.0,9.0,19.0,24.0,7.0,11.0,6.0,8.0,27.0
598,8.0,17.0,18.0,24.0,11.0,10.0,3.0,8.0,20.0
599,6.0,12.0,24.0,22.0,5.0,3.0,1.0,8.0,21.0
600,2.0,2.0,11.0,21.0,8.0,6.0,2.0,6.0,22.0
601,2.0,12.0,15.0,15.0,10.0,7.0,11.0,7.0,18.0
602,5.0,8.0,17.0,11.0,7.0,4.0,8.0,3.0,25.0
603,8.0,8.0,21.0,13.0,7.0,9.0,2.0,3.0,18.0
604,4.0,7.0,22.0,19.0,7.0,8.0,3.0,6.0,29.0
605,13.0,13.0,20.0,37.0,6.0,12.0,4.0,11.0,20.0
606,9.0,11.0,27.0,21.0,5.0,6.0,2.0,8.0,26.0
607,9.0,18.0,22.0,15.0,3.0,9.0,5.0,8.0,21.0
608,4.0,13.0,15.0,20.0,4.0,9.0,7.0,6.0,17.0
609,7.0,5.0,21.0,16.0,4.0,5.0,4.0,6.0,20.0
610,3.0,6.0,16.0,18.0,5.0,12.0,6.0,7.0,22.0
611,3.0,12.0,21.0,13.0,2.0,6.0,5.0,8.0,24.0
612,6.0,9.0,33.0,26.0,3.0,8.0,7.0,11.0,18.0
613,4.0,16.0,16.0,21.0,5.0,4.0,5.0,8.0,31.0
614,13.0,19.0,31.0,39.0,7.0,6.0,4.0,9.0,30.0
615,7.0,9.0,22.0,18.0,2.0,17.0,3.0,6.0,17.0
616,7.0,10.0,19.0,12.0,11.0,7.0,7.0,9.0,19.0
617,6.0,11.0,18.0,14.0,4.0,3.0,4.0,4.0,23.0
618,4.0,10.0,15.0,18.0,2.0,6.0,9.0,4.0,11.0
619,3.0,13.0,20.0,21.0,4.0,4.0,4.0,3.0,16.0
620,5.0,14.0,15.0,17.0,2.0,3.0,6.0,5.0,20.0
621,7.0,14.0,24.0,18.0,3.0,7.0,6.0,9.0,18.0
622,7.0,12.0,19.0,20.0,3.0,3.0,5.0,8.0,24.0
623,2.0,11.0,22.0,19.0,4.0,9.0,7.0,9.0,17.0
624,4.0,13.0,18.0,19.0,8.0,8.0,7.0,12.0,15.0
625,2.0,10.0,13.0,24.0,10.0,5.0,4.0,8.0,21.0
626,1.0,14.0,15.0,19.0,2.0,7.0,6.0,5.0,17.0
627,5.0,12.0,20.0,25.0,6.0,6.0,6.0,8.0,22.0
628,4.0,10.0,17.0,18.0,3.0,7.0,7.0,8.0,14.0
629,4.0,7.0,20.0,19.0,6.0,12.0,6.0,9.0,16.0
630,4.0,10.0,19.0,26.0,2.0,8.0,6.0,5.0,15.0
631,4.0,14.0,12.0,19.0,5.0,6.0,5.0,5.0,18.0
632,5.0,14.0,23.0,16.0,4.0,7.0,6.0,10.0,19.0
633,6.0,11.0,19.0,21.0,5.0,5.0,1.0,9.0,18.0
634,6.0,9.0,19.0,17.0,4.0,3.0,4.0,6.0,12.0
635,5.0,9.0,12.0,23.0,2.0,6.0,6.0,4.0,15.0
636,9.0,12.0,19.0,15.0,7.0,7.0,5.0,12.0,23.0
637,5.0,11.0,14.0,10.0,14.0,12.0,4.0,5.0,17.0
638,4.0,6.0,20.0,17.0,5.0,5.0,1.0,11.0,24.0
639,6.0,12.0,8.0,14.0,3.0,6.0,7.0,10.0,14.0
640,1.0,9.0,16.0,26.0,5.0,12.0,7.0,5.0,19.0
641,4.0,16.0,27.0,17.0,5.0,5.0,4.0,5.0,13.0
642,3.0,13.0,15.0,16.0,2.0,7.0,7.0,8.0,18.0
643,4.0,8.0,15.0,23.0,2.0,9.0,3.0,5.0,17.0
644,3.0,14.0,18.0,20.0,8.0,10.0,3.0,9.0,18.0
645,3.0,15.0,20.0,21.0,4.0,4.0,4.0,5.0,24.0
646,2.0,8.0,15.0,17.0,9.0,6.0,3.0,4.0,15.0
647,6.0,10.0,20.0,20.0,5.0,5.0,3.0,6.0,16.0
648,1.0,13.0,16.0,16.0,3.0,7.0,7.0,6.0,22.0
649,0.0,5.0,16.0,17.0,6.0,5.0,5.0,4.0,22.0
650,3.0,12.0,20.0,19.0,5.0,2.0,1.0,2.0,29.0
651,3.0,3.0,13.0,26.0,7.0,7.0,7.0,9.0,15.0
652,3.0,10.0,21.0,14.0,5.0,5.0,5.0,9.0,16.0
653,1.0,5.0,9.0,13.0,5.0,7.0,7.0,4.0,23.0
654,5.0,10.0,19.0,20.0,8.0,7.0,4.0,3.0,27.0
655,3.0,11.0,25.0,18.0,5.0,10.0,5.0,6.0,16.0
656,4.0,8.0,21.0,23.0,4.0,6.0,5.0,7.0,18.0
657,2.0,17.0,24.0,16.0,4.0,10.0,8.0,6.0,15.0
658,2.0,10.0,16.0,12.0,0.0,7.0,2.0,9.0,22.0
659,6.0,18.0,21.0,12.0,3.0,4.0,8.0,5.0,11.0
660,3.0,7.0,20.0,20.0,2.0,8.0,4.0,5.0,20.0
661,8.0,12.0,13.0,12.0,8.0,11.0,5.0,9.0,17.0
662,3.0,9.0,14.0,14.0,5.0,5.0,4.0,4.0,19.0
663,1.0,10.0,16.0,15.0,5.0,6.0,6.0,8.0,17.0
664,6.0,8.0,14.0,17.0,7.0,9.0,2.0,8.0,15.0
665,3.0,8.0,11.0,21.0,5.0,3.0,6.0,4.0,11.0
666,7.0,5.0,16.0,24.0,11.0,5.0,3.0,3.0,15.0
667,5.0,7.0,21.0,15.0,2.0,3.0,7.0,8.0,13.0
668,2.0,14.0,14.0,19.0,2.0,7.0,3.0,8.0,25.0
669,5.0,10.0,13.0,11.0,6.0,7.0,3.0,5.0,15.0
670,4.0,15.0,8.0,21.0,5.0,10.0,5.0,4.0,14.0
671,5.0,10.0,18.0,22.0,2.0,8.0,5.0,11.0,19.0
672,4.0,11.0,18.0,18.0,1.0,5.0,7.0,5.0,14.0
673,1.0,8.0,11.0,20.0,4.0,10.0,5.0,5.0,21.0
674,3.0,17.0,16.0,17.0,4.0,8.0,4.0,8.0,24.0
675,3.0,9.0,16.0,22.0,4.0,4.0,4.0,3.0,31.0
676,3.0,17.0,21.0,15.0,6.0,1.0,6.0,5.0,19.0
677,4.0,13.0,13.0,17.0,4.0,11.0,4.0,8.0,22.0
678,1.0,17.0,23.0,25.0,6.0,2.0,3.0,5.0,19.0
679,7.0,10.0,17.0,23.0,4.0,4.0,2.0,10.0,18.0
680,3.0,7.0,17.0,19.0,4.0,9.0,7.0,5.0,29.0
681,3.0,11.0,20.0,21.0,4.0,10.0,3.0,5.0,14.0
682,6.0,8.0,17.0,13.0,2.0,9.0,2.0,7.0,21.0
683,1.0,12.0,12.0,20.0,5.0,6.0,5.0,5.0,24.0
684,7.0,9.0,22.0,22.0,4.0,8.0,5.0,5.0,15.0
685,1.0,11.0,15.0,16.0,3.0,10.0,10.0,5.0,18.0
686,1.0,12.0,13.0,12.0,4.0,6.0,5.0,6.0,14.0
687,3.0,8.0,21.0,24.0,4.0,4.0,3.0,3.0,22.0
688,2.0,13.0,17.0,19.0,6.0,2.0,3.0,11.0,21.0
689,3.0,11.0,20.0,10.0,8.0,4.0,7.0,6.0,19.0
690,3.0,9.0,18.0,15.0,3.0,2.0,7.0,8.0,16.0
691,5.0,12.0,21.0,12.0,11.0,10.0,4.0,4.0,24.0
692,3.0,14.0,14.0,16.0,6.0,8.0,3.0,5.0,12.0
693,4.0,10.0,21.0,24.0,4.0,7.0,1.0,2.0,19.0
694,6.0,10.0,26.0,18.0,3.0,8.0,4.0,8.0,15.0
695,4.0,9.0,17.0,19.0,4.0,6.0,5.0,6.0,15.0
696,3.0,11.0,12.0,17.0,4.0,11.0,8.0,10.0,19.0
697,2.0,9.0,18.0,13.0,4.0,7.0,3.0,9.0,20.0
698,3.0,12.0,21.0,9.0,2.0,4.0,5.0,6.0,18.0
699,6.0,11.0,13.0,18.0,7.0,8.0,9.0,10.0,11.0
700,5.0,14.0,24.0,15.0,5.0,9.0,6.0,7.0,14.0
