,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-wind,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas
89,3950.0,4400.0,261.0,444.0,4374.0,3447.0
90,3958.0,4399.0,258.0,451.0,4290.0,3486.0
91,3958.0,4399.0,258.0,451.0,4290.0,3486.0
92,4058.0,4399.0,259.0,460.0,4485.0,3391.0
93,4131.0,4399.0,257.0,457.0,4493.0,3437.0
94,4138.0,4399.0,258.0,462.0,4549.0,3435.0
95,4118.0,4399.0,257.0,477.0,4582.0,3459.0
96,4118.0,4399.0,257.0,477.0,4582.0,3459.0
97,4088.0,4399.0,254.0,490.0,4577.0,3500.0
98,4075.0,4400.0,255.0,519.0,4600.0,3522.0
99,4051.0,4399.0,259.0,527.0,4613.0,3498.0
100,4066.0,4400.0,258.0,530.0,4626.0,3458.0
101,4062.0,4400.0,257.0,537.0,4594.0,3428.0
102,4062.0,4400.0,257.0,537.0,4594.0,3428.0
103,4062.0,4400.0,257.0,537.0,4594.0,3428.0
104,4062.0,4400.0,257.0,537.0,4594.0,3428.0
105,4062.0,4400.0,257.0,537.0,4594.0,3428.0
106,3832.0,4401.0,259.0,604.0,4677.0,3264.0
107,3834.0,4400.0,260.0,616.0,4663.0,3230.0
108,3859.0,4400.0,258.0,625.0,4627.0,3216.0
109,3834.0,4400.0,260.0,616.0,4663.0,3230.0
110,3809.0,4398.0,258.0,627.0,4589.0,3179.0
111,3809.0,4398.0,258.0,627.0,4589.0,3179.0
112,3809.0,4398.0,258.0,627.0,4589.0,3179.0
113,3809.0,4398.0,258.0,627.0,4589.0,3179.0
114,3818.0,4399.0,257.0,619.0,4422.0,3275.0
115,3818.0,4399.0,257.0,619.0,4422.0,3275.0
116,3723.0,4398.0,260.0,622.0,4510.0,3417.0
117,3648.0,4398.0,261.0,625.0,4598.0,3308.0
118,3655.0,4400.0,256.0,626.0,4632.0,3221.0
119,3615.0,4399.0,252.0,627.0,4645.0,3140.0
120,3615.0,4399.0,252.0,627.0,4645.0,3140.0
121,3615.0,4399.0,252.0,627.0,4645.0,3140.0
122,3666.0,4400.0,248.0,614.0,4518.0,3113.0
123,3668.0,4399.0,248.0,608.0,4419.0,3165.0
124,3603.0,4399.0,250.0,610.0,4366.0,3190.0
125,3603.0,4399.0,250.0,610.0,4366.0,3190.0
126,3664.0,4400.0,253.0,613.0,4309.0,3269.0
127,3813.0,4399.0,257.0,628.0,4365.0,3463.0
128,3835.0,4400.0,257.0,635.0,4370.0,3490.0
129,3780.0,4399.0,257.0,637.0,4375.0,3495.0
130,3675.0,4401.0,253.0,641.0,4370.0,3486.0
131,3675.0,4401.0,253.0,641.0,4370.0,3486.0
132,3678.0,4401.0,253.0,630.0,4248.0,3497.0
133,3676.0,4400.0,254.0,626.0,4235.0,3477.0
134,3688.0,4398.0,256.0,630.0,4168.0,3469.0
135,3688.0,4398.0,256.0,630.0,4168.0,3469.0
136,3735.0,4398.0,254.0,643.0,4093.0,3442.0
137,3645.0,4400.0,257.0,653.0,4058.0,3458.0
138,3678.0,4400.0,257.0,661.0,4150.0,3438.0
139,3653.0,4399.0,261.0,677.0,4261.0,3441.0
140,3603.0,4400.0,263.0,683.0,4271.0,3406.0
141,3573.0,4400.0,263.0,690.0,4253.0,3367.0
142,3606.0,4399.0,263.0,685.0,4164.0,3384.0
143,3568.0,4400.0,261.0,689.0,4094.0,3363.0
144,3506.0,4400.0,255.0,697.0,4064.0,3348.0
145,3477.0,4400.0,256.0,700.0,4008.0,3353.0
146,3477.0,4400.0,256.0,700.0,4008.0,3353.0
147,3547.0,4400.0,262.0,699.0,3755.0,3380.0
148,3582.0,4399.0,260.0,694.0,3653.0,3364.0
149,3570.0,4401.0,259.0,687.0,3653.0,3262.0
150,3533.0,4401.0,256.0,683.0,3641.0,3131.0
151,3490.0,4399.0,255.0,680.0,3608.0,3074.0
