,hospital-er-wait-minutes-piedmont_fayette,hospital-er-wait-minutes-piedmont_newton,hospital-er-wait-minutes-piedmont_mountside_ellijay,hospital-er-wait-minutes-piedmont_newnan,hospital-er-wait-minutes-piedmont_athens,hospital-er-wait-minutes-piedmont_henry,hospital-er-wait-minutes-piedmont_walton,hospital-er-wait-minutes-piedmont_mountainside,hospital-er-wait-minutes-piedmont_rockdale,hospital-er-wait-minutes-piedmont_atlanta
70,46.0,51.0,15.0,79.0,52.0,417.0,2.0,0.0,25.0,84.0
71,46.0,51.0,15.0,79.0,52.0,417.0,2.0,0.0,25.0,84.0
72,57.0,34.0,15.0,75.0,48.0,358.0,2.0,0.0,25.0,56.0
73,57.0,34.0,15.0,75.0,48.0,358.0,2.0,0.0,25.0,56.0
74,63.0,34.0,0.0,40.0,46.0,296.0,2.0,0.0,34.0,32.0
75,63.0,34.0,0.0,40.0,46.0,296.0,2.0,0.0,34.0,32.0
76,48.0,30.0,0.0,17.0,31.0,177.0,3.0,0.0,34.0,38.0
77,48.0,30.0,0.0,17.0,31.0,177.0,3.0,0.0,34.0,38.0
78,43.0,30.0,0.0,24.0,42.0,172.0,4.0,0.0,15.0,41.0
79,43.0,30.0,0.0,24.0,42.0,172.0,4.0,0.0,15.0,41.0
80,43.0,41.0,11.0,29.0,51.0,666.0,1.0,0.0,13.0,60.0
81,43.0,41.0,11.0,29.0,51.0,666.0,1.0,0.0,13.0,60.0
82,83.0,51.0,11.0,57.0,39.0,331.0,1.0,0.0,16.0,0.0
83,83.0,51.0,11.0,57.0,39.0,331.0,1.0,0.0,16.0,0.0
84,83.0,57.0,11.0,70.0,33.0,277.0,0.0,0.0,16.0,6.0
85,83.0,57.0,11.0,70.0,33.0,277.0,0.0,0.0,16.0,6.0
86,40.0,74.0,0.0,22.0,19.0,263.0,4.0,14.0,10.0,7.0
87,40.0,74.0,0.0,22.0,19.0,263.0,4.0,14.0,10.0,7.0
88,45.0,83.0,0.0,6.0,14.0,214.0,4.0,14.0,0.0,9.0
89,45.0,83.0,0.0,6.0,14.0,214.0,4.0,14.0,0.0,9.0
90,36.0,83.0,0.0,5.0,19.0,216.0,4.0,12.0,5.0,8.0
91,36.0,83.0,0.0,5.0,19.0,216.0,4.0,12.0,5.0,8.0
92,29.0,39.0,0.0,4.0,23.0,185.0,4.0,12.0,6.0,11.0
93,29.0,39.0,0.0,4.0,23.0,185.0,4.0,12.0,6.0,11.0
94,29.0,35.0,19.0,1.0,20.0,82.0,0.0,5.0,7.0,12.0
95,29.0,35.0,19.0,1.0,20.0,82.0,0.0,5.0,7.0,12.0
96,33.0,34.0,22.0,11.0,14.0,124.0,2.0,23.0,11.0,8.0
97,33.0,34.0,22.0,11.0,14.0,124.0,2.0,23.0,11.0,8.0
98,41.0,46.0,37.0,9.0,17.0,97.0,5.0,14.0,16.0,9.0
99,41.0,46.0,37.0,9.0,17.0,97.0,5.0,14.0,16.0,9.0
100,48.0,58.0,27.0,3.0,19.0,69.0,5.0,14.0,27.0,12.0
101,48.0,58.0,27.0,3.0,19.0,69.0,5.0,14.0,27.0,12.0
102,59.0,83.0,17.0,1.0,24.0,54.0,4.0,23.0,20.0,18.0
103,59.0,83.0,17.0,1.0,24.0,54.0,4.0,23.0,20.0,18.0
104,54.0,88.0,12.0,3.0,34.0,59.0,4.0,30.0,16.0,27.0
105,54.0,88.0,12.0,3.0,34.0,59.0,4.0,30.0,16.0,27.0
106,46.0,91.0,13.0,8.0,44.0,51.0,5.0,42.0,14.0,47.0
