,electricity-fueltype-nyiso-hydro,electricity-fueltype-nyiso-nuclear,electricity-fueltype-nyiso-other_renewables,electricity-fueltype-nyiso-dual_fuel,electricity-fueltype-nyiso-natural_gas,electricity-fueltype-nyiso-other_fossil_fuels,electricity-fueltype-nyiso-wind
90,2729.0,4384.0,260.0,3501.0,2980.0,2.0,64.0
91,2805.0,4384.0,259.0,3571.0,2999.0,2.0,63.0
92,2855.0,4386.0,259.0,3668.0,3027.0,2.0,56.0
93,2830.0,4385.0,260.0,3635.0,3033.0,2.0,54.0
94,2845.0,4385.0,259.0,3568.0,3034.0,2.0,53.0
95,2855.0,4386.0,256.0,3632.0,3030.0,2.0,55.0
96,2825.0,4387.0,257.0,3705.0,3028.0,2.0,62.0
97,2824.0,4385.0,259.0,3708.0,3038.0,2.0,50.0
98,2927.0,4386.0,258.0,3774.0,3067.0,2.0,36.0
99,2976.0,4385.0,255.0,3792.0,3100.0,2.0,31.0
100,2970.0,4386.0,255.0,3793.0,3095.0,2.0,22.0
101,2949.0,4385.0,259.0,3860.0,3094.0,2.0,25.0
102,2986.0,4385.0,257.0,3912.0,3102.0,2.0,26.0
103,3032.0,4384.0,253.0,3944.0,3121.0,2.0,23.0
104,3071.0,4386.0,256.0,3977.0,3148.0,2.0,24.0
105,3119.0,4386.0,254.0,4040.0,3173.0,2.0,22.0
106,3191.0,4386.0,257.0,4104.0,3210.0,2.0,24.0
107,3188.0,4386.0,259.0,4175.0,3213.0,2.0,29.0
108,3139.0,4386.0,259.0,4163.0,3228.0,2.0,28.0
109,3109.0,4385.0,258.0,4150.0,3235.0,2.0,31.0
110,3136.0,4387.0,256.0,4169.0,3252.0,2.0,31.0
111,3132.0,4385.0,258.0,4259.0,3261.0,2.0,32.0
112,3160.0,4384.0,258.0,4319.0,3270.0,2.0,34.0
113,3186.0,4385.0,258.0,4341.0,3306.0,2.0,36.0
114,3281.0,4386.0,257.0,4313.0,3330.0,2.0,36.0
115,3311.0,4386.0,258.0,4279.0,3330.0,2.0,31.0
116,3277.0,4385.0,256.0,4254.0,3326.0,2.0,32.0
117,3234.0,4386.0,249.0,4288.0,3327.0,2.0,35.0
118,3137.0,4384.0,249.0,4285.0,3328.0,2.0,34.0
119,3109.0,4387.0,255.0,4302.0,3329.0,2.0,33.0
120,3129.0,4385.0,255.0,4339.0,3315.0,2.0,37.0
121,3132.0,4386.0,254.0,4396.0,3297.0,2.0,38.0
122,3168.0,4385.0,251.0,4463.0,3254.0,2.0,40.0
123,3052.0,4386.0,251.0,4483.0,3190.0,2.0,41.0
124,2970.0,4387.0,252.0,4330.0,3190.0,2.0,40.0
125,2989.0,4385.0,251.0,4284.0,3225.0,2.0,34.0
126,3008.0,4386.0,254.0,4281.0,3220.0,2.0,34.0
127,3035.0,4386.0,252.0,4288.0,3215.0,2.0,33.0
128,3016.0,4385.0,255.0,4293.0,3216.0,2.0,31.0
129,3003.0,4384.0,255.0,4318.0,3195.0,2.0,30.0
130,2979.0,4386.0,256.0,4343.0,3188.0,2.0,32.0
131,2992.0,4386.0,261.0,4351.0,3205.0,2.0,34.0
132,3030.0,4386.0,258.0,4289.0,3171.0,2.0,34.0
133,3027.0,4386.0,252.0,4208.0,3115.0,2.0,33.0
134,2998.0,4388.0,258.0,4160.0,3101.0,2.0,33.0
135,3159.0,4386.0,259.0,4071.0,3100.0,2.0,35.0
136,3176.0,4386.0,258.0,4029.0,3101.0,2.0,35.0
137,3158.0,4385.0,259.0,4016.0,3065.0,2.0,35.0
138,3113.0,4387.0,260.0,4017.0,3023.0,2.0,35.0
139,3085.0,4386.0,260.0,3988.0,3021.0,2.0,37.0
140,3057.0,4387.0,258.0,3983.0,3022.0,2.0,37.0
141,3079.0,4385.0,255.0,4002.0,3027.0,2.0,34.0
142,3114.0,4386.0,256.0,4015.0,3023.0,2.0,34.0
143,3074.0,4387.0,256.0,4018.0,3027.0,2.0,36.0
144,3029.0,4387.0,259.0,4019.0,3025.0,2.0,36.0
145,3009.0,4387.0,262.0,3867.0,3021.0,2.0,35.0
146,3067.0,4388.0,259.0,3786.0,2998.0,2.0,32.0
147,3099.0,4387.0,257.0,3784.0,3000.0,2.0,36.0
148,3113.0,4387.0,260.0,3774.0,3013.0,2.0,36.0
149,3108.0,4387.0,262.0,3732.0,3021.0,2.0,37.0
150,3103.0,4387.0,263.0,3675.0,3029.0,2.0,38.0
151,3108.0,4385.0,263.0,3660.0,3033.0,2.0,34.0
152,3094.0,4385.0,259.0,3650.0,3021.0,2.0,31.0
153,3066.0,4385.0,252.0,3625.0,3019.0,2.0,26.0
154,3014.0,4387.0,258.0,3612.0,2996.0,2.0,27.0
155,3032.0,4386.0,250.0,3579.0,2938.0,2.0,29.0
156,3018.0,4387.0,252.0,3591.0,2882.0,2.0,30.0
157,2964.0,4386.0,257.0,3598.0,2887.0,2.0,33.0
158,2828.0,4387.0,261.0,3541.0,2915.0,2.0,30.0
159,2717.0,4386.0,265.0,3437.0,2813.0,2.0,27.0
160,2723.0,4385.0,264.0,3372.0,2729.0,2.0,23.0
161,2671.0,4385.0,260.0,3374.0,2707.0,2.0,23.0
162,2659.0,4385.0,254.0,3395.0,2662.0,2.0,22.0
163,2609.0,4386.0,252.0,3421.0,2607.0,2.0,22.0
164,2567.0,4386.0,250.0,3467.0,2583.0,2.0,24.0
165,2591.0,4387.0,247.0,3436.0,2587.0,2.0,22.0
166,2560.0,4388.0,256.0,3422.0,2580.0,2.0,20.0
167,2538.0,4387.0,257.0,3397.0,2535.0,2.0,22.0
168,2529.0,4387.0,255.0,3338.0,2466.0,2.0,22.0
169,2417.0,4387.0,254.0,3326.0,2419.0,2.0,20.0
170,2327.0,4388.0,254.0,3319.0,2385.0,2.0,21.0
171,2264.0,4385.0,255.0,3354.0,2385.0,2.0,21.0
172,2275.0,4386.0,253.0,3397.0,2397.0,2.0,18.0
173,2244.0,4385.0,253.0,3495.0,2374.0,2.0,15.0
174,2209.0,4385.0,247.0,3553.0,2376.0,2.0,14.0
175,2177.0,4385.0,236.0,3564.0,2374.0,2.0,14.0
176,2177.0,4385.0,236.0,3564.0,2374.0,2.0,14.0
177,2091.0,4387.0,228.0,3543.0,2352.0,2.0,16.0
178,2036.0,4387.0,226.0,3541.0,2303.0,2.0,16.0
179,2060.0,4385.0,225.0,3539.0,2238.0,2.0,17.0
180,2052.0,4384.0,229.0,3516.0,2169.0,2.0,16.0
181,1864.0,4389.0,228.0,3385.0,2063.0,2.0,14.0
182,1825.0,4385.0,229.0,3353.0,1974.0,2.0,15.0
183,1829.0,4385.0,231.0,3337.0,1920.0,2.0,15.0
184,1813.0,4387.0,233.0,3317.0,1933.0,2.0,18.0
185,1774.0,4385.0,234.0,3292.0,1934.0,2.0,20.0
186,1754.0,4386.0,236.0,3282.0,1919.0,2.0,19.0
187,1731.0,4387.0,235.0,3266.0,1917.0,2.0,19.0
188,1737.0,4387.0,234.0,3255.0,1905.0,2.0,17.0
189,1731.0,4386.0,237.0,3249.0,1879.0,2.0,14.0
190,1729.0,4387.0,238.0,3239.0,1864.0,2.0,10.0
191,1732.0,4389.0,236.0,3232.0,1851.0,2.0,8.0
192,1740.0,4388.0,231.0,3220.0,1841.0,2.0,8.0
193,1779.0,4386.0,233.0,3215.0,1820.0,2.0,6.0
194,1789.0,4386.0,235.0,3209.0,1816.0,2.0,6.0
195,1727.0,4386.0,233.0,3193.0,1810.0,2.0,7.0
196,1670.0,4387.0,234.0,3193.0,1805.0,2.0,6.0
197,1690.0,4387.0,235.0,3191.0,1803.0,2.0,3.0
198,1705.0,4386.0,236.0,3187.0,1797.0,2.0,1.0
199,1714.0,4385.0,235.0,3189.0,1797.0,2.0,0.0
200,1711.0,4387.0,234.0,3186.0,1796.0,2.0,1.0
201,1702.0,4387.0,232.0,3184.0,1797.0,2.0,1.0
202,1687.0,4386.0,235.0,3182.0,1796.0,2.0,1.0
203,1701.0,4388.0,236.0,3185.0,1785.0,2.0,0.0
204,1714.0,4387.0,232.0,3183.0,1750.0,2.0,0.0
205,1731.0,4388.0,232.0,3162.0,1691.0,2.0,0.0
206,1677.0,4387.0,229.0,3141.0,1631.0,2.0,0.0
207,1651.0,4387.0,229.0,3100.0,1638.0,2.0,1.0
208,1626.0,4387.0,234.0,3098.0,1666.0,2.0,0.0
209,1632.0,4387.0,233.0,3101.0,1670.0,2.0,0.0
