,emojitracker-twitter-smiling_face_with_smiling_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_smiling_eyes,emojitracker-twitter-smiling_face_with_heart-shaped_eyes,emojitracker-twitter-smiling_face_with_open_mouth_and_tightly-closed_eyes
170,166.0,37.0,238.0,79.0
171,149.0,44.0,253.0,72.0
172,166.0,49.0,251.0,69.0
173,162.0,37.0,262.0,77.0
174,190.0,42.0,262.0,71.0
175,194.0,36.0,309.0,74.0
176,168.0,47.0,256.0,76.0
177,157.0,42.0,266.0,87.0
178,163.0,54.0,288.0,76.0
179,184.0,42.0,238.0,94.0
180,159.0,54.0,261.0,72.0
181,162.0,45.0,223.0,77.0
182,174.0,42.0,260.0,88.0
183,155.0,43.0,242.0,54.0
184,163.0,49.0,277.0,64.0
185,152.0,39.0,254.0,72.0
186,159.0,55.0,247.0,74.0
187,178.0,33.0,266.0,72.0
188,159.0,39.0,254.0,67.0
189,181.0,46.0,250.0,68.0
190,171.0,43.0,256.0,83.0
191,174.0,40.0,233.0,64.0
192,172.0,58.0,247.0,63.0
193,169.0,40.0,246.0,74.0
194,160.0,44.0,265.0,65.0
195,145.0,44.0,261.0,75.0
196,141.0,44.0,254.0,64.0
197,186.0,51.0,258.0,66.0
198,178.0,51.0,221.0,74.0
199,175.0,52.0,264.0,85.0
200,160.0,38.0,293.0,67.0
201,166.0,45.0,245.0,72.0
202,165.0,39.0,254.0,72.0
203,173.0,40.0,227.0,62.0
204,134.0,53.0,259.0,67.0
205,164.0,33.0,260.0,67.0
206,136.0,54.0,250.0,77.0
207,154.0,50.0,268.0,74.0
208,167.0,48.0,250.0,74.0
209,153.0,46.0,278.0,82.0
210,149.0,43.0,238.0,81.0
211,156.0,48.0,268.0,69.0
212,167.0,52.0,263.0,93.0
213,148.0,50.0,271.0,80.0
214,184.0,45.0,240.0,92.0
215,176.0,52.0,260.0,81.0
216,157.0,50.0,280.0,96.0
217,174.0,47.0,256.0,73.0
218,177.0,37.0,276.0,68.0
219,166.0,48.0,274.0,86.0
220,153.0,47.0,266.0,67.0
221,171.0,48.0,264.0,69.0
222,169.0,42.0,272.0,69.0
223,149.0,45.0,283.0,74.0
224,161.0,50.0,291.0,78.0
225,170.0,44.0,275.0,75.0
226,159.0,45.0,250.0,70.0
227,162.0,57.0,268.0,62.0
228,200.0,54.0,259.0,81.0
229,171.0,33.0,293.0,71.0
230,175.0,45.0,256.0,83.0
231,185.0,41.0,275.0,68.0
232,166.0,46.0,267.0,77.0
233,150.0,35.0,266.0,80.0
234,167.0,51.0,318.0,74.0
235,160.0,44.0,291.0,88.0
236,176.0,40.0,291.0,71.0
237,178.0,47.0,310.0,67.0
238,168.0,47.0,252.0,69.0
239,174.0,38.0,282.0,76.0
240,171.0,50.0,272.0,74.0
241,167.0,46.0,301.0,82.0
242,159.0,44.0,283.0,73.0
243,155.0,47.0,270.0,61.0
244,151.0,49.0,308.0,86.0
245,192.0,55.0,272.0,76.0
246,186.0,50.0,243.0,77.0
247,173.0,36.0,268.0,76.0
248,174.0,38.0,257.0,57.0
249,167.0,49.0,257.0,55.0
250,181.0,54.0,270.0,82.0
251,163.0,62.0,254.0,73.0
252,167.0,50.0,287.0,75.0
253,187.0,47.0,257.0,58.0
254,153.0,56.0,285.0,58.0
255,149.0,42.0,273.0,78.0
256,195.0,55.0,284.0,93.0
257,157.0,45.0,279.0,65.0
258,161.0,56.0,241.0,72.0
259,146.0,45.0,252.0,76.0
260,158.0,54.0,298.0,71.0
261,173.0,47.0,296.0,65.0
262,163.0,50.0,271.0,73.0
263,174.0,55.0,262.0,94.0
264,160.0,58.0,271.0,84.0
265,181.0,44.0,264.0,86.0
266,190.0,56.0,309.0,75.0
267,168.0,51.0,296.0,78.0
268,162.0,48.0,275.0,77.0
269,166.0,44.0,249.0,80.0
270,170.0,53.0,271.0,68.0
271,142.0,53.0,270.0,67.0
272,160.0,53.0,262.0,67.0
273,154.0,46.0,260.0,82.0
274,162.0,51.0,253.0,79.0
275,159.0,49.0,308.0,71.0
276,164.0,55.0,262.0,89.0
277,163.0,42.0,295.0,66.0
278,176.0,49.0,284.0,67.0
279,160.0,51.0,327.0,96.0
280,163.0,34.0,262.0,73.0
281,161.0,48.0,318.0,87.0
282,155.0,54.0,287.0,61.0
283,166.0,43.0,284.0,76.0
284,163.0,40.0,290.0,62.0
285,176.0,61.0,297.0,64.0
286,164.0,63.0,273.0,71.0
287,166.0,44.0,290.0,77.0
288,176.0,45.0,274.0,67.0
289,152.0,46.0,271.0,77.0
290,172.0,53.0,275.0,76.0
291,156.0,47.0,288.0,64.0
292,192.0,63.0,262.0,78.0
293,171.0,45.0,289.0,64.0
294,173.0,50.0,371.0,78.0
295,161.0,45.0,356.0,86.0
296,177.0,49.0,333.0,75.0
297,159.0,51.0,336.0,60.0
298,155.0,46.0,355.0,68.0
299,145.0,44.0,309.0,77.0
300,177.0,44.0,319.0,83.0
301,175.0,37.0,301.0,82.0
302,169.0,43.0,317.0,73.0
303,156.0,47.0,308.0,84.0
304,162.0,50.0,299.0,77.0
305,183.0,45.0,306.0,77.0
306,213.0,40.0,296.0,73.0
307,172.0,49.0,308.0,78.0
308,156.0,57.0,285.0,73.0
309,201.0,61.0,282.0,64.0
310,173.0,49.0,283.0,64.0
311,206.0,41.0,279.0,76.0
312,173.0,46.0,280.0,66.0
313,166.0,47.0,291.0,69.0
314,177.0,45.0,323.0,76.0
315,195.0,50.0,298.0,76.0
316,165.0,47.0,298.0,77.0
317,166.0,43.0,277.0,68.0
318,178.0,45.0,325.0,77.0
319,183.0,37.0,308.0,74.0
320,188.0,45.0,339.0,81.0
321,174.0,40.0,301.0,74.0
322,156.0,55.0,326.0,78.0
323,184.0,52.0,341.0,88.0
324,169.0,56.0,316.0,72.0
325,155.0,40.0,322.0,92.0
326,168.0,61.0,273.0,81.0
327,165.0,60.0,318.0,72.0
328,177.0,56.0,333.0,68.0
329,157.0,33.0,319.0,59.0
330,161.0,40.0,323.0,75.0
331,169.0,44.0,269.0,73.0
332,189.0,55.0,315.0,76.0
333,177.0,49.0,286.0,79.0
334,179.0,51.0,299.0,81.0
335,183.0,39.0,321.0,66.0
336,148.0,45.0,322.0,62.0
337,153.0,47.0,302.0,70.0
338,167.0,47.0,301.0,82.0
339,176.0,45.0,286.0,73.0
340,153.0,40.0,307.0,70.0
341,164.0,57.0,334.0,61.0
342,155.0,53.0,303.0,63.0
343,175.0,38.0,305.0,69.0
344,179.0,53.0,309.0,71.0
345,167.0,46.0,321.0,67.0
346,155.0,38.0,301.0,72.0
347,156.0,51.0,322.0,67.0
348,160.0,43.0,270.0,71.0
349,162.0,48.0,321.0,71.0
350,213.0,62.0,297.0,84.0
351,180.0,60.0,315.0,59.0
352,150.0,38.0,264.0,70.0
353,193.0,49.0,300.0,74.0
354,177.0,61.0,353.0,83.0
355,166.0,61.0,335.0,69.0
356,140.0,50.0,337.0,74.0
357,178.0,41.0,344.0,62.0
358,144.0,50.0,282.0,54.0
359,159.0,47.0,325.0,53.0
360,175.0,48.0,285.0,64.0
361,138.0,47.0,286.0,67.0
362,172.0,43.0,289.0,71.0
363,171.0,52.0,296.0,69.0
364,166.0,39.0,287.0,57.0
365,179.0,38.0,304.0,67.0
366,173.0,49.0,283.0,61.0
367,159.0,49.0,282.0,65.0
368,161.0,44.0,284.0,70.0
369,175.0,46.0,337.0,64.0
370,160.0,37.0,316.0,63.0
371,165.0,58.0,322.0,63.0
372,157.0,45.0,322.0,71.0
373,167.0,59.0,299.0,62.0
374,149.0,51.0,311.0,56.0
375,191.0,43.0,325.0,79.0
376,137.0,49.0,310.0,70.0
377,173.0,45.0,286.0,70.0
378,166.0,54.0,315.0,54.0
379,170.0,56.0,301.0,57.0
380,152.0,52.0,313.0,53.0
381,162.0,46.0,308.0,55.0
382,186.0,42.0,293.0,71.0
383,174.0,44.0,298.0,47.0
384,155.0,48.0,326.0,70.0
385,196.0,50.0,308.0,75.0
386,167.0,43.0,296.0,73.0
387,138.0,46.0,325.0,68.0
388,179.0,54.0,295.0,53.0
389,195.0,44.0,308.0,63.0
390,175.0,50.0,285.0,92.0
391,173.0,54.0,323.0,51.0
392,181.0,46.0,280.0,67.0
393,173.0,50.0,281.0,61.0
394,167.0,44.0,300.0,72.0
