,noaa_wind_direction_46078,noaa_wind_speed_46073,noaa_wind_speed_46078,noaa_wind_direction_46077,noaa_wind_direction_46076,noaa_wind_speed_46077,noaa_wind_direction_46073,noaa_wind_speed_46076
0,0.7944444444444444,1.6300000000000001,0.4,0.6083333333333333,0.9722222222222222,0.41,0.36666666666666664,0.55
1,0.8611111111111112,1.6199999999999999,0.5599999999999999,0.6305555555555555,0.975,0.36,0.3638888888888889,0.52
2,0.8611111111111112,1.6199999999999999,0.5599999999999999,0.6305555555555555,0.975,0.36,0.3638888888888889,0.52
3,0.8666666666666667,1.58,0.6,0.6444444444444445,0.9777777777777777,0.32,0.35833333333333334,0.38
4,0.8722222222222222,1.56,0.7,0.6444444444444445,0.05277777777777778,0.32,0.35833333333333334,0.64
5,0.8722222222222222,1.56,0.7,0.5222222222222223,0.05277777777777778,0.13,0.35833333333333334,0.64
6,0.8861111111111111,1.47,0.8400000000000001,0.5222222222222223,0.06944444444444445,0.13,0.3638888888888889,0.8
7,0.8861111111111111,1.47,0.8400000000000001,0.6833333333333333,0.06944444444444445,0.04,0.3638888888888889,0.8
8,0.8694444444444445,1.47,0.79,0.6833333333333333,0.05277777777777778,0.04,0.38333333333333336,0.78
9,0.8694444444444445,1.47,0.79,0.15833333333333333,0.05277777777777778,0.05,0.38333333333333336,0.78
10,0.8277777777777777,1.3900000000000001,0.73,0.15833333333333333,0.0,0.05,0.39166666666666666,0.74
11,0.8277777777777777,1.3900000000000001,0.73,0.24166666666666667,0.0,0.42000000000000004,0.39166666666666666,0.74
12,0.825,1.3199999999999998,0.6799999999999999,0.24166666666666667,0.05,0.42000000000000004,0.4166666666666667,0.55
13,0.825,1.3199999999999998,0.6799999999999999,0.225,0.05,0.33999999999999997,0.4166666666666667,0.55
14,0.8166666666666667,1.1400000000000001,0.67,0.225,0.013888888888888888,0.33999999999999997,0.44722222222222224,0.5599999999999999
15,0.8166666666666667,1.1400000000000001,0.67,0.21666666666666667,0.013888888888888888,0.27,0.44722222222222224,0.5599999999999999
16,0.8083333333333333,0.8300000000000001,0.6599999999999999,0.21666666666666667,0.002777777777777778,0.27,0.4888888888888889,0.53
17,0.8083333333333333,0.8300000000000001,0.6599999999999999,0.24166666666666667,0.002777777777777778,0.26,0.4888888888888889,0.53
18,0.7944444444444444,0.6799999999999999,0.78,0.24166666666666667,0.005555555555555556,0.26,0.5805555555555556,0.51
19,0.7944444444444444,0.6799999999999999,0.78,0.25277777777777777,0.005555555555555556,0.24,0.5805555555555556,0.51
20,0.7944444444444444,0.6799999999999999,0.78,0.25277777777777777,0.005555555555555556,0.24,0.5805555555555556,0.51
21,0.7972222222222223,0.61,0.72,0.25277777777777777,0.011111111111111112,0.24,0.6416666666666667,0.5
22,0.7972222222222223,0.61,0.72,0.19444444444444445,0.011111111111111112,0.36,0.6416666666666667,0.5
23,0.8333333333333334,0.67,0.77,0.19444444444444445,0.030555555555555555,0.36,0.6833333333333333,0.73
24,0.8333333333333334,0.67,0.77,0.17222222222222222,0.030555555555555555,0.45,0.6833333333333333,0.73
25,0.8083333333333333,0.65,0.6900000000000001,0.17222222222222222,0.06944444444444445,0.45,0.6722222222222223,0.6799999999999999
26,0.8083333333333333,0.65,0.6900000000000001,0.21666666666666667,0.06944444444444445,0.44000000000000006,0.6722222222222223,0.6799999999999999
27,0.8083333333333333,0.65,0.6900000000000001,0.21666666666666667,0.06944444444444445,0.44000000000000006,0.6722222222222223,0.6799999999999999
28,0.8277777777777777,0.64,0.79,0.21666666666666667,0.030555555555555555,0.44000000000000006,0.6888888888888889,0.86
29,0.8277777777777777,0.64,0.79,0.17777777777777778,0.030555555555555555,0.54,0.6888888888888889,0.86
30,0.8277777777777777,0.64,0.79,0.17777777777777778,0.030555555555555555,0.54,0.6888888888888889,0.86
31,0.8222222222222222,0.5599999999999999,0.77,0.16944444444444445,0.044444444444444446,0.5599999999999999,0.7,0.99
32,0.8166666666666667,0.51,0.76,0.15555555555555556,0.058333333333333334,0.79,0.6972222222222222,1.08
33,0.8277777777777777,0.53,0.75,0.15555555555555556,0.06388888888888888,0.79,0.7055555555555556,1.0699999999999998
34,0.8666666666666667,0.41,0.78,0.16111111111111112,0.06111111111111111,0.73,0.7027777777777777,1.1400000000000001
35,0.8666666666666667,0.41,0.78,0.1388888888888889,0.06111111111111111,0.77,0.7027777777777777,1.1400000000000001
36,0.8138888888888889,0.41,0.76,0.1388888888888889,0.04722222222222222,0.77,0.7138888888888889,1.1400000000000001
37,0.8138888888888889,0.41,0.76,0.1361111111111111,0.04722222222222222,0.76,0.7138888888888889,1.1400000000000001
38,0.8138888888888889,0.41,0.76,0.1361111111111111,0.04722222222222222,0.76,0.7138888888888889,1.1400000000000001
39,0.8138888888888889,0.33999999999999997,0.75,0.1361111111111111,0.05277777777777778,0.76,0.7,0.9199999999999999
40,0.8138888888888889,0.33999999999999997,0.75,0.14444444444444443,0.05277777777777778,0.8099999999999999,0.7,0.9199999999999999
41,0.8138888888888889,0.33999999999999997,0.75,0.14444444444444443,0.05277777777777778,0.8099999999999999,0.7,0.9199999999999999
42,0.8194444444444444,0.27999999999999997,0.6,0.14444444444444443,0.05,0.8099999999999999,0.7,1.04
43,0.8194444444444444,0.27999999999999997,0.6,0.1361111111111111,0.05,0.97,0.7,1.04
44,0.8138888888888889,0.39,0.5700000000000001,0.1361111111111111,0.04722222222222222,0.97,0.7222222222222222,0.9800000000000001
45,0.8138888888888889,0.39,0.5700000000000001,0.1388888888888889,0.04722222222222222,1.01,0.7222222222222222,0.9800000000000001
