,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
167,12.0,11.0,11.0,11.0
168,12.0,11.0,11.0,11.0
169,12.0,11.0,11.0,11.0
170,12.0,11.0,11.0,11.0
171,12.0,11.0,11.0,13.0
172,12.0,11.0,11.0,14.0
173,12.0,11.0,11.0,13.0
174,12.0,11.0,12.0,12.0
175,12.0,11.0,11.0,11.0
176,12.0,11.0,11.0,12.0
177,12.0,11.0,11.0,13.0
178,12.0,11.0,11.0,13.0
179,12.0,11.0,11.0,13.0
180,12.0,11.0,11.0,11.0
181,14.0,11.0,12.0,12.0
182,13.0,11.0,12.0,12.0
183,12.0,11.0,11.0,12.0
184,12.0,11.0,11.0,12.0
185,12.0,11.0,11.0,12.0
186,12.0,11.0,11.0,11.0
187,12.0,11.0,11.0,12.0
188,12.0,11.0,11.0,12.0
189,12.0,11.0,11.0,12.0
190,12.0,11.0,11.0,12.0
191,12.0,11.0,11.0,11.0
192,12.0,11.0,11.0,11.0
193,12.0,11.0,11.0,11.0
194,12.0,11.0,11.0,12.0
195,12.0,11.0,11.0,12.0
196,12.0,11.0,11.0,12.0
197,12.0,11.0,11.0,12.0
198,12.0,11.0,11.0,12.0
199,12.0,11.0,11.0,12.0
200,12.0,11.0,11.0,12.0
201,12.0,11.0,11.0,12.0
202,12.0,11.0,11.0,12.0
203,13.0,11.0,11.0,12.0
204,12.0,11.0,11.0,12.0
205,12.0,11.0,11.0,12.0
206,12.0,11.0,11.0,12.0
207,12.0,11.0,11.0,12.0
208,12.0,11.0,11.0,12.0
209,13.0,11.0,11.0,12.0
210,12.0,11.0,11.0,12.0
211,12.0,11.0,11.0,12.0
212,13.0,11.0,11.0,13.0
213,13.0,11.0,11.0,13.0
214,13.0,11.0,11.0,13.0
215,12.0,11.0,11.0,13.0
216,12.0,11.0,11.0,13.0
217,12.0,11.0,11.0,12.0
218,12.0,11.0,11.0,13.0
219,13.0,12.0,11.0,14.0
220,13.0,12.0,11.0,15.0
221,13.0,11.0,11.0,14.0
222,14.0,11.0,11.0,14.0
223,14.0,11.0,12.0,13.0
224,14.0,11.0,12.0,14.0
225,14.0,11.0,12.0,14.0
226,14.0,11.0,12.0,14.0
227,14.0,14.0,12.0,16.0
228,14.0,15.0,11.0,17.0
229,15.0,17.0,12.0,20.0
230,14.0,13.0,11.0,15.0
231,14.0,12.0,12.0,14.0
232,16.0,12.0,12.0,16.0
233,17.0,12.0,12.0,18.0
234,17.0,12.0,12.0,19.0
235,16.0,11.0,12.0,16.0
236,17.0,11.0,12.0,16.0
237,16.0,11.0,12.0,16.0
238,17.0,11.0,13.0,16.0
239,18.0,11.0,13.0,16.0
240,18.0,11.0,13.0,16.0
241,16.0,11.0,12.0,15.0
242,16.0,11.0,12.0,15.0
243,16.0,11.0,12.0,15.0
244,15.0,12.0,12.0,14.0
245,15.0,11.0,12.0,14.0
246,15.0,11.0,12.0,14.0
247,15.0,12.0,13.0,14.0
248,16.0,12.0,14.0,14.0
249,17.0,12.0,15.0,13.0
250,17.0,12.0,16.0,13.0
251,18.0,12.0,16.0,14.0
252,17.0,12.0,15.0,14.0
253,16.0,12.0,14.0,14.0
254,14.0,11.0,12.0,13.0
255,14.0,11.0,12.0,13.0
256,14.0,11.0,12.0,13.0
257,14.0,11.0,12.0,14.0
258,14.0,11.0,11.0,14.0
259,15.0,11.0,11.0,15.0
260,16.0,12.0,11.0,18.0
261,16.0,12.0,12.0,20.0
262,16.0,12.0,12.0,18.0
263,18.0,13.0,13.0,19.0
264,18.0,12.0,12.0,18.0
