,electricity-load-nyiso-capitl,electricity-load-nyiso-west,electricity-load-nyiso-millwd,electricity-load-nyiso-hud_valley,electricity-load-nyiso-north,electricity-load-nyiso-centrl,electricity-load-nyiso-mhk_valley,electricity-load-nyiso-nyc,electricity-load-nyiso-longil,electricity-load-nyiso-dunwod,electricity-load-nyiso-overall,electricity-load-nyiso-genese
37,1581.7944,1964.0541,358.9727,1092.3722,708.1113,2144.4219,1077.2979,5856.0723,2189.0203,676.3334,19001.2807,1352.8302
38,1564.0062,1975.4945,362.4938,1087.3809,705.145,2151.5337,1073.1311,5857.8223,2194.0078,676.415,18999.2588,1351.8285
39,1584.8627,1962.8851,351.9008,1106.4459,707.2402,2158.4763,1053.5941,5836.1636,2193.5024,687.8975,18995.130999999998,1352.1624
40,1576.9237,1931.9227,359.0226,1086.1942,708.4862,2168.007,1057.103,5846.3823,2186.6357,675.0456,18946.8412,1351.1182
41,1574.0134,1961.5051,351.795,1097.584,710.2388,2145.2007,1064.4653,5820.1436,2181.3281,672.3901,18928.637899999998,1349.9738
42,1581.0977,1974.8605,379.385,1061.988,704.1381,2100.213,1063.6046,5817.8945,2203.0352,678.1442,18916.354499999998,1351.9937
43,1572.6982,1944.8385,352.6869,1075.33,703.3666,2105.3796,1057.4587,5806.3564,2185.4495,663.3475,18815.828500000003,1348.9166
44,1581.3862,1976.8965,345.8903,1071.443,705.0372,2112.2993,1056.4878,5808.8545,2212.123,676.5551,18897.6028,1350.6299
45,1581.967,1976.7896,344.8847,1091.4064,705.2322,2163.3962,1054.1418,5788.7812,2194.7107,674.9467,18922.4753,1346.2188
46,1591.2454,1955.536,354.4709,1059.5007,708.6268,2144.4897,1058.1036,5786.6504,2195.002,671.6283,18874.328400000002,1349.0746
47,1578.3025,1967.873,352.923,1069.0834,701.7458,2167.5996,1057.4917,5799.9917,2158.4287,668.7123,18870.518300000003,1348.3666
48,1589.1279,1975.642,339.3941,1116.5513,709.1633,2126.2642,1061.2234,5768.366,2179.099,662.1481,18877.6573,1350.678
49,1595.9316,1968.9321,341.2459,1087.1609,706.0681,2146.3965,1066.875,5795.6035,2150.6333,665.045,18878.384299999998,1354.4924
50,1596.5055,1973.7369,338.9846,1088.6913,705.4912,2159.0864,1059.7567,5793.4995,2141.8213,665.9542,18872.7041,1349.1765
51,1583.433,1967.8243,337.6237,1061.6149,702.758,2181.2876,1065.0823,5773.54,2128.7502,667.1867,18815.399500000003,1346.2988
52,1583.433,1967.8243,337.6237,1061.6149,702.758,2181.2876,1065.0823,5773.54,2128.7502,667.1867,18815.399500000003,1346.2988
53,1583.927,1950.0603,366.2806,1031.3127,704.9168,2175.4001,1063.3025,5744.786,2110.5334,665.1845,18747.6158,1351.9119
54,1585.9951,1969.3739,359.0153,1054.8868,701.9762,2134.2869,1064.8403,5767.8896,2123.1208,666.4139,18778.724,1350.9252
55,1592.0029,1939.292,352.3155,1061.7473,705.6636,2172.5288,1053.3003,5761.006,2110.998,662.5415,18762.820700000004,1351.4248
56,1587.0461,1971.6958,340.8192,1075.2078,701.332,2182.417,1043.2865,5808.7793,2097.8367,662.3203,18819.6732,1348.9325
57,1584.9487,1962.9717,352.8557,1027.0746,699.3519,2180.8672,1056.9735,5791.0234,2085.2864,670.8616,18759.653400000003,1347.4387
58,1565.6484,1943.4333,353.9704,1023.1444,695.5223,2179.1624,1062.0719,5815.561,2054.1833,658.4797,18697.411,1346.2339
59,1574.8862,1926.1338,356.3005,1020.9644,691.7866,2157.8745,1059.854,5801.7114,2052.0908,648.3254,18635.502999999997,1345.5754
60,1570.8807,1942.6941,355.2894,1017.9761,690.4909,2178.6538,1067.2264,5798.96,2056.0374,655.8713,18677.934100000002,1343.854
61,1577.0164,1935.7986,354.4818,1008.7881,687.2514,2194.1304,1056.9626,5767.2134,2068.1692,656.5228,18645.307399999998,1338.9727
62,1557.9302,1957.4954,337.3182,1011.4562,693.5078,2190.163,1064.0188,5799.056,2053.7483,657.7755,18664.7467,1342.2773
63,1568.5312,1924.3124,334.3734,1033.8054,692.6379,2177.9583,1060.252,5778.463,2073.17,661.9762,18651.47,1345.9902
64,1556.7638,1944.2805,355.8478,1012.5438,688.1322,2172.094,1064.0037,5768.9053,2065.7585,651.6609,18621.7736,1341.7831
65,1567.3932,1935.4353,344.419,1039.3701,692.9097,2153.1702,1061.063,5733.5566,2082.7485,650.3059,18601.1105,1340.739
66,1570.7751,1921.2249,357.8877,981.5964,692.0859,2172.7712,1061.8783,5737.735,2084.7026,670.4468,18596.0853,1344.9814
67,1565.3726,1925.0331,341.3448,1057.66,688.1583,2167.6377,1066.5189,5736.7153,2080.0703,657.1852,18625.148800000003,1339.4526
68,1565.3726,1925.0331,341.3448,1057.66,688.1583,2167.6377,1066.5189,5736.7153,2080.0703,657.1852,18625.148800000003,1339.4526
69,1563.8859,1914.9414,329.0111,1042.1729,685.4437,2180.5898,1054.1993,5717.9077,2053.4263,652.7449,18529.2683,1334.9453
70,1563.4944,1950.5925,312.994,1041.2784,696.4318,2138.666,1054.263,5734.168,2042.7189,644.6804,18511.489199999996,1332.2018
71,1574.6018,1911.8142,320.8215,1045.3152,691.327,2191.3635,1048.7261,5708.8584,2044.8473,655.1569,18530.4902,1337.6583
72,1565.8186,1913.2314,335.3328,1024.8363,700.5919,2190.9258,1055.032,5692.9375,2064.0774,648.7971,18526.1228,1334.542
73,1574.4797,1929.3116,337.2856,1054.7935,690.3826,2194.1301,1051.2339,5678.744,2059.6348,649.3407,18554.35,1335.0135
74,1566.1051,1900.2052,342.4406,1046.4392,682.006,2200.8198,1060.6123,5726.1816,2086.5203,645.3461,18591.8713,1335.1951
75,1556.69,1917.4686,342.5731,1047.3365,698.9407,2145.8032,1060.2837,5729.583,2081.9932,655.1567,18569.502,1333.6733
76,1559.9674,1890.392,348.9133,1058.237,695.305,2151.733,1057.9814,5692.7773,2075.1914,656.428,18526.0471,1339.1213
77,1565.2253,1892.5118,322.1247,1093.6896,690.6504,2187.5527,1054.5132,5709.4824,2084.0586,650.8986,18592.662099999998,1341.9548
78,1567.8442,1928.7388,343.728,1043.5603,705.2106,2182.0286,1055.2728,5726.175,2068.1255,661.1632,18611.7814,1329.9344
