,emojitracker-twitter-kissing_face_with_closed_eyes,emojitracker-twitter-kissing_face_with_smiling_eyes
314,36.0,13.0
315,33.0,6.0
316,34.0,14.0
317,12.0,18.0
318,25.0,12.0
319,24.0,9.0
320,28.0,16.0
321,23.0,18.0
322,34.0,8.0
323,23.0,13.0
324,23.0,7.0
325,22.0,7.0
326,22.0,10.0
327,27.0,10.0
328,30.0,17.0
329,24.0,8.0
330,29.0,13.0
331,30.0,20.0
332,20.0,9.0
333,26.0,20.0
334,27.0,21.0
335,36.0,11.0
336,25.0,15.0
337,26.0,15.0
338,33.0,12.0
339,27.0,16.0
340,19.0,20.0
341,25.0,17.0
342,28.0,15.0
343,24.0,8.0
344,26.0,11.0
345,27.0,10.0
346,23.0,15.0
347,21.0,17.0
348,25.0,14.0
349,29.0,18.0
350,25.0,12.0
351,20.0,17.0
352,23.0,15.0
353,24.0,9.0
354,25.0,13.0
355,25.0,12.0
356,23.0,12.0
357,19.0,14.0
358,29.0,8.0
359,21.0,10.0
360,22.0,12.0
361,21.0,5.0
362,30.0,17.0
363,27.0,15.0
364,15.0,9.0
365,25.0,10.0
366,21.0,15.0
367,34.0,17.0
368,34.0,11.0
369,18.0,13.0
370,34.0,15.0
371,28.0,9.0
372,22.0,13.0
373,25.0,10.0
374,34.0,17.0
375,33.0,18.0
376,28.0,28.0
377,31.0,12.0
378,29.0,15.0
379,20.0,10.0
380,31.0,12.0
381,23.0,16.0
382,22.0,14.0
383,29.0,11.0
384,17.0,11.0
385,20.0,15.0
386,38.0,14.0
387,23.0,14.0
388,22.0,10.0
389,24.0,14.0
390,23.0,8.0
391,30.0,14.0
392,16.0,9.0
393,18.0,17.0
394,17.0,13.0
395,28.0,11.0
396,26.0,11.0
397,25.0,11.0
398,23.0,13.0
399,21.0,9.0
400,27.0,14.0
401,18.0,12.0
402,28.0,18.0
403,29.0,17.0
404,24.0,15.0
405,23.0,13.0
406,15.0,12.0
407,18.0,9.0
408,18.0,11.0
409,31.0,12.0
410,22.0,11.0
411,26.0,12.0
412,30.0,11.0
413,23.0,12.0
414,23.0,17.0
415,27.0,8.0
416,24.0,8.0
417,24.0,12.0
418,27.0,9.0
419,21.0,9.0
420,36.0,16.0
421,20.0,8.0
422,21.0,11.0
423,22.0,14.0
424,30.0,12.0
425,23.0,19.0
426,25.0,10.0
427,33.0,11.0
428,23.0,13.0
429,20.0,15.0
430,30.0,9.0
431,16.0,10.0
432,24.0,8.0
433,32.0,11.0
434,30.0,12.0
435,15.0,15.0
436,28.0,17.0
437,24.0,12.0
438,15.0,4.0
439,22.0,9.0
440,20.0,7.0
441,22.0,15.0
442,17.0,8.0
443,21.0,10.0
444,23.0,7.0
445,20.0,10.0
446,19.0,15.0
447,13.0,13.0
448,22.0,14.0
449,27.0,11.0
450,22.0,6.0
451,16.0,7.0
452,24.0,14.0
453,21.0,8.0
454,23.0,8.0
455,18.0,10.0
456,18.0,7.0
457,20.0,7.0
458,17.0,2.0
459,19.0,7.0
460,23.0,7.0
461,23.0,15.0
462,19.0,12.0
463,14.0,8.0
464,21.0,10.0
465,13.0,11.0
466,23.0,6.0
467,15.0,7.0
468,20.0,10.0
469,17.0,9.0
470,29.0,15.0
471,27.0,14.0
472,23.0,7.0
473,20.0,10.0
474,21.0,7.0
475,15.0,15.0
476,15.0,13.0
477,19.0,10.0
478,33.0,14.0
479,10.0,10.0
480,14.0,8.0
481,23.0,8.0
482,21.0,7.0
483,14.0,21.0
484,23.0,8.0
485,19.0,12.0
486,19.0,14.0
487,27.0,10.0
488,8.0,13.0
489,17.0,6.0
490,15.0,12.0
491,17.0,9.0
492,15.0,9.0
493,20.0,12.0
494,20.0,15.0
495,14.0,8.0
496,23.0,9.0
497,19.0,7.0
498,13.0,13.0
499,23.0,9.0
500,12.0,8.0
