,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_northside,hospital-er-wait-minutes-columbus_midtown
976,6.0,29.0,91.0
977,6.0,29.0,91.0
978,1.0,22.0,110.0
979,1.0,22.0,110.0
980,0.0,7.0,127.0
981,0.0,7.0,127.0
982,9.0,8.0,135.0
983,9.0,8.0,135.0
984,8.0,19.0,163.0
985,8.0,19.0,163.0
986,8.0,27.0,174.0
987,8.0,27.0,174.0
988,14.0,28.0,138.0
989,14.0,28.0,138.0
990,10.0,23.0,104.0
991,10.0,23.0,104.0
992,4.0,30.0,81.0
993,4.0,30.0,81.0
994,8.0,38.0,77.0
995,8.0,38.0,77.0
996,11.0,44.0,72.0
997,11.0,44.0,72.0
998,12.0,35.0,74.0
999,12.0,35.0,74.0
