,noaa_wind_direction_46061,noaa_wind_speed_41008,noaa_wind_direction_44005,noaa_wind_speed_46061,noaa_wind_speed_44005,noaa_wind_direction_41008
0,0.4166666666666667,0.5599999999999999,0.6722222222222223,0.8300000000000001,0.27999999999999997,0.6583333333333333
1,0.37777777777777777,0.3,0.6361111111111111,1.0,0.55,0.7333333333333333
2,0.375,0.33999999999999997,0.7305555555555555,1.05,0.67,0.8722222222222222
3,0.375,0.33999999999999997,0.7305555555555555,1.05,0.67,0.8722222222222222
4,0.36666666666666664,0.16999999999999998,0.7527777777777778,0.93,0.5900000000000001,0.9666666666666667
5,0.35555555555555557,0.01,0.675,0.9800000000000001,0.52,0.20555555555555555
6,0.35,0.18,0.675,1.16,0.52,0.9111111111111111
7,0.33611111111111114,0.45999999999999996,0.7166666666666667,1.0699999999999998,0.47000000000000003,0.15555555555555556
8,0.3416666666666667,0.45,0.8222222222222222,1.1400000000000001,0.44000000000000006,0.11666666666666667
9,0.32222222222222224,0.32,0.8722222222222222,1.03,0.52,0.1388888888888889
10,0.32222222222222224,0.16,0.8777777777777778,0.93,0.51,0.24166666666666667
11,0.32222222222222224,0.16,0.9333333333333333,0.93,0.44000000000000006,0.24166666666666667
12,0.32222222222222224,0.11000000000000001,0.9333333333333333,0.8699999999999999,0.44000000000000006,0.3333333333333333
13,0.3388888888888889,0.25,0.9527777777777777,0.99,0.33999999999999997,0.044444444444444446
14,0.325,0.16999999999999998,0.8972222222222223,0.82,0.31,0.2833333333333333
15,0.325,0.16999999999999998,0.9555555555555556,0.82,0.22999999999999998,0.2833333333333333
16,0.31666666666666665,0.32999999999999996,0.9222222222222223,0.72,0.31,0.05
17,0.3194444444444444,0.24,0.9055555555555556,0.72,0.33999999999999997,0.9638888888888889
18,0.31666666666666665,0.13,0.9166666666666666,0.77,0.54,0.07222222222222222
19,0.3194444444444444,0.31,0.9472222222222222,0.8,0.63,0.9555555555555556
20,0.3194444444444444,0.27999999999999997,0.9555555555555556,0.8400000000000001,0.53,0.9777777777777777
21,0.3194444444444444,0.27999999999999997,0.9277777777777778,0.8400000000000001,0.62,0.9777777777777777
22,0.325,0.31,0.9527777777777777,0.9400000000000001,0.58,0.002777777777777778
23,0.325,0.53,0.0,0.9400000000000001,0.52,0.9805555555555555
24,0.325,0.5700000000000001,0.9388888888888889,1.15,0.89,0.9555555555555556
25,0.3333333333333333,0.5,0.9111111111111111,1.16,0.82,0.9805555555555555
26,0.3277777777777778,0.48,0.9138888888888889,1.22,0.85,0.9388888888888889
27,0.33611111111111114,0.39,0.9138888888888889,1.34,0.85,0.975
28,0.3333333333333333,0.41,0.9333333333333333,1.45,0.8800000000000001,0.9722222222222222
29,0.3416666666666667,0.45999999999999996,0.9333333333333333,1.55,1.0,0.002777777777777778
30,0.33611111111111114,0.53,0.9333333333333333,1.55,1.0,0.025
31,0.33611111111111114,0.53,0.9166666666666666,1.55,0.9199999999999999,0.025
32,0.33055555555555555,0.61,0.8861111111111111,1.47,0.9199999999999999,0.06388888888888888
33,0.3333333333333333,0.82,0.8888888888888888,1.3699999999999999,1.1,0.1
34,0.3333333333333333,0.82,0.8916666666666667,1.42,1.1400000000000001,0.1
35,0.33055555555555555,0.8099999999999999,0.8916666666666667,1.3800000000000001,1.3,0.11388888888888889
36,0.325,0.86,0.8916666666666667,1.4300000000000002,1.3,0.125
37,0.3472222222222222,0.8300000000000001,0.8861111111111111,1.61,1.27,0.1361111111111111
38,0.34444444444444444,0.8099999999999999,0.8888888888888888,1.89,1.25,0.14722222222222223
39,0.34444444444444444,0.8099999999999999,0.8777777777777778,1.89,1.33,0.14722222222222223
40,0.41944444444444445,0.8099999999999999,0.8916666666666667,1.0,1.47,0.14166666666666666
41,0.45,0.65,0.8722222222222222,0.8300000000000001,1.5,0.15555555555555556
42,0.38333333333333336,0.6799999999999999,0.8833333333333333,0.93,1.53,0.15
43,0.38333333333333336,0.6599999999999999,0.8694444444444445,0.93,1.48,0.15833333333333333
44,0.3194444444444444,0.6599999999999999,0.85,1.01,1.44,0.16944444444444445
45,0.3194444444444444,0.6599999999999999,0.8583333333333333,1.01,1.6300000000000001,0.16944444444444445
46,0.3,0.77,0.8472222222222222,0.9099999999999999,1.6300000000000001,0.15
47,0.3,0.77,0.8388888888888889,0.9099999999999999,1.54,0.15
48,0.2833333333333333,0.77,0.85,0.78,1.6800000000000002,0.1527777777777778
49,0.25277777777777777,0.72,0.8611111111111112,0.5900000000000001,1.78,0.16666666666666666
50,0.2916666666666667,0.72,0.8638888888888889,0.63,1.83,0.1361111111111111
51,0.23333333333333334,0.71,0.8666666666666667,0.64,1.78,0.11666666666666667
52,0.18055555555555555,0.6900000000000001,0.8555555555555555,0.72,1.72,0.14444444444444443
53,0.21666666666666667,0.6900000000000001,0.8777777777777778,0.45,1.69,0.14444444444444443
54,0.23333333333333334,0.64,0.8777777777777778,0.43,1.69,0.1638888888888889
55,0.25277777777777777,0.58,0.875,0.3,1.64,0.17222222222222222
56,0.25833333333333336,0.58,0.8638888888888889,0.09,1.7100000000000002,0.17222222222222222
57,0.775,0.52,0.875,0.11000000000000001,1.59,0.18333333333333332
58,0.7694444444444445,0.45,0.8944444444444445,0.22000000000000003,1.4300000000000002,0.1388888888888889
59,0.7083333333333334,0.45,0.8805555555555555,0.27,1.45,0.1388888888888889
60,0.6388888888888888,0.38,0.8805555555555555,0.25,1.45,0.10555555555555556
61,0.5861111111111111,0.44000000000000006,0.8861111111111111,0.22999999999999998,1.3900000000000001,0.08611111111111111
