,emojitracker-twitter-disappointed_but_relieved_face,emojitracker-twitter-disappointed_face
315,26.0,59.0
316,27.0,47.0
317,37.0,46.0
318,35.0,56.0
319,36.0,36.0
320,38.0,45.0
321,39.0,34.0
322,35.0,51.0
323,35.0,57.0
324,34.0,60.0
325,37.0,46.0
326,34.0,48.0
327,36.0,53.0
328,25.0,53.0
329,25.0,44.0
330,45.0,54.0
331,34.0,60.0
332,38.0,57.0
333,34.0,52.0
334,31.0,51.0
335,27.0,58.0
336,38.0,53.0
337,30.0,51.0
338,29.0,59.0
339,31.0,47.0
340,34.0,53.0
341,34.0,54.0
342,31.0,48.0
343,40.0,36.0
344,27.0,48.0
345,25.0,47.0
346,41.0,56.0
347,25.0,42.0
348,32.0,60.0
349,33.0,47.0
350,34.0,50.0
351,25.0,46.0
352,29.0,44.0
353,33.0,63.0
354,25.0,56.0
355,37.0,50.0
356,26.0,52.0
357,26.0,46.0
358,27.0,62.0
359,24.0,44.0
360,32.0,54.0
361,39.0,42.0
362,32.0,52.0
363,32.0,48.0
364,38.0,50.0
365,35.0,56.0
366,39.0,56.0
367,41.0,55.0
368,32.0,73.0
369,29.0,60.0
370,30.0,66.0
371,31.0,43.0
372,33.0,48.0
373,31.0,51.0
374,35.0,49.0
375,23.0,56.0
376,29.0,57.0
377,28.0,56.0
378,26.0,50.0
379,17.0,49.0
380,28.0,49.0
381,24.0,49.0
382,27.0,60.0
383,42.0,46.0
384,32.0,47.0
385,25.0,51.0
386,16.0,56.0
387,34.0,49.0
388,26.0,47.0
389,24.0,49.0
390,29.0,46.0
391,29.0,63.0
392,28.0,55.0
393,31.0,52.0
394,28.0,51.0
395,22.0,39.0
396,28.0,51.0
397,34.0,49.0
398,25.0,65.0
399,28.0,46.0
400,24.0,59.0
401,29.0,61.0
402,29.0,52.0
403,27.0,45.0
404,29.0,47.0
405,28.0,45.0
406,28.0,43.0
407,24.0,57.0
408,33.0,48.0
409,28.0,57.0
410,30.0,47.0
411,25.0,41.0
412,45.0,52.0
413,28.0,51.0
414,27.0,63.0
415,34.0,55.0
416,20.0,72.0
417,30.0,47.0
418,23.0,43.0
419,28.0,32.0
420,22.0,62.0
421,34.0,51.0
422,35.0,33.0
423,38.0,51.0
424,26.0,52.0
425,28.0,52.0
426,32.0,44.0
427,26.0,54.0
428,26.0,52.0
429,22.0,58.0
430,27.0,43.0
431,34.0,54.0
432,28.0,43.0
433,27.0,74.0
434,26.0,65.0
435,37.0,55.0
436,23.0,47.0
437,29.0,54.0
438,32.0,54.0
439,31.0,55.0
440,23.0,46.0
441,32.0,38.0
442,31.0,64.0
443,34.0,61.0
444,33.0,52.0
445,42.0,58.0
446,26.0,60.0
447,26.0,54.0
448,31.0,54.0
449,13.0,49.0
450,24.0,39.0
451,31.0,54.0
452,41.0,57.0
453,28.0,51.0
454,30.0,46.0
455,15.0,47.0
456,27.0,49.0
457,28.0,52.0
458,37.0,47.0
459,20.0,47.0
460,33.0,55.0
461,23.0,58.0
462,35.0,62.0
463,29.0,63.0
464,24.0,55.0
465,31.0,51.0
466,37.0,54.0
467,26.0,59.0
468,26.0,60.0
469,26.0,50.0
470,35.0,44.0
471,24.0,41.0
472,23.0,43.0
473,25.0,59.0
474,31.0,51.0
475,28.0,51.0
476,32.0,50.0
477,24.0,51.0
478,24.0,56.0
479,22.0,61.0
480,24.0,54.0
481,25.0,41.0
482,29.0,56.0
483,42.0,48.0
484,24.0,54.0
485,19.0,60.0
486,28.0,61.0
487,33.0,55.0
488,35.0,53.0
489,29.0,55.0
490,18.0,42.0
491,37.0,39.0
492,22.0,57.0
493,23.0,47.0
494,29.0,47.0
495,25.0,45.0
496,31.0,58.0
497,14.0,55.0
498,26.0,65.0
499,25.0,61.0
500,28.0,71.0
501,29.0,55.0
502,27.0,48.0
503,25.0,56.0
504,20.0,60.0
505,25.0,60.0
506,21.0,54.0
507,33.0,42.0
508,26.0,50.0
509,33.0,52.0
510,29.0,49.0
511,21.0,53.0
512,28.0,48.0
513,22.0,46.0
514,29.0,52.0
515,28.0,63.0
516,19.0,54.0
517,24.0,50.0
518,29.0,47.0
519,25.0,47.0
520,18.0,43.0
521,17.0,52.0
522,24.0,49.0
523,30.0,59.0
524,26.0,47.0
525,25.0,41.0
526,20.0,53.0
527,31.0,49.0
528,26.0,57.0
529,27.0,48.0
530,22.0,48.0
531,30.0,57.0
532,21.0,58.0
533,19.0,54.0
534,28.0,48.0
535,22.0,60.0
536,27.0,47.0
537,28.0,50.0
538,30.0,64.0
539,13.0,45.0
540,23.0,52.0
541,26.0,60.0
542,35.0,58.0
543,26.0,66.0
544,31.0,64.0
545,35.0,53.0
546,19.0,56.0
547,30.0,43.0
548,26.0,46.0
549,27.0,52.0
550,21.0,62.0
551,20.0,49.0
552,28.0,43.0
553,31.0,40.0
554,29.0,49.0
555,24.0,49.0
556,27.0,46.0
557,25.0,53.0
558,23.0,51.0
559,22.0,63.0
560,23.0,41.0
561,36.0,50.0
562,20.0,53.0
563,30.0,63.0
564,21.0,48.0
565,31.0,51.0
566,27.0,38.0
567,20.0,56.0
568,26.0,61.0
569,14.0,52.0
570,19.0,56.0
571,22.0,46.0
572,24.0,54.0
573,21.0,48.0
574,23.0,53.0
575,28.0,51.0
576,30.0,38.0
577,26.0,48.0
578,25.0,43.0
579,28.0,45.0
580,26.0,59.0
581,25.0,55.0
582,21.0,54.0
583,20.0,52.0
584,33.0,54.0
585,28.0,36.0
586,20.0,52.0
587,23.0,50.0
588,29.0,45.0
589,28.0,44.0
590,18.0,65.0
591,24.0,47.0
592,25.0,53.0
593,27.0,46.0
594,22.0,43.0
595,24.0,53.0
596,25.0,40.0
597,21.0,69.0
598,25.0,58.0
599,27.0,60.0
600,31.0,51.0
601,15.0,63.0
602,23.0,59.0
603,19.0,57.0
604,19.0,61.0
605,20.0,61.0
606,18.0,48.0
607,26.0,41.0
608,33.0,49.0
609,35.0,45.0
610,26.0,49.0
611,31.0,44.0
612,21.0,56.0
613,23.0,49.0
614,23.0,59.0
615,16.0,48.0
616,20.0,41.0
617,21.0,50.0
618,17.0,44.0
619,11.0,40.0
620,19.0,46.0
