,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_lower_level,traffic-nj511-minutes-harlem_river_drive_from_the_triborough_bridge_to_i-80_via_the_upper_level,traffic-nj511-minutes-i-87_from_the_triborough_bridge_to_i-80_via_the_lower_level
167,12.0,11.0,11.0,12.0
168,12.0,11.0,11.0,11.0
169,12.0,11.0,11.0,11.0
170,12.0,11.0,11.0,11.0
171,12.0,11.0,11.0,11.0
172,12.0,11.0,11.0,11.0
173,12.0,11.0,11.0,11.0
174,12.0,11.0,11.0,11.0
175,12.0,11.0,11.0,11.0
176,12.0,11.0,11.0,11.0
177,12.0,11.0,11.0,11.0
178,12.0,11.0,11.0,11.0
179,12.0,11.0,11.0,11.0
180,12.0,11.0,11.0,11.0
181,12.0,11.0,11.0,11.0
182,12.0,11.0,11.0,11.0
183,12.0,11.0,11.0,11.0
184,12.0,11.0,11.0,11.0
185,12.0,11.0,11.0,11.0
186,12.0,11.0,11.0,12.0
187,12.0,11.0,11.0,12.0
188,13.0,11.0,12.0,12.0
189,12.0,11.0,11.0,12.0
190,12.0,11.0,11.0,12.0
191,12.0,11.0,11.0,11.0
192,12.0,12.0,11.0,13.0
193,12.0,11.0,11.0,13.0
194,13.0,11.0,12.0,11.0
195,13.0,11.0,12.0,11.0
196,15.0,11.0,14.0,11.0
197,18.0,11.0,17.0,11.0
198,17.0,11.0,15.0,11.0
199,16.0,11.0,15.0,11.0
200,16.0,11.0,14.0,12.0
201,13.0,11.0,13.0,11.0
202,12.0,11.0,11.0,11.0
203,12.0,11.0,11.0,11.0
204,12.0,11.0,11.0,11.0
205,12.0,11.0,11.0,11.0
206,13.0,11.0,12.0,11.0
207,12.0,11.0,11.0,11.0
208,12.0,11.0,11.0,11.0
209,12.0,11.0,11.0,11.0
210,12.0,11.0,11.0,11.0
211,12.0,11.0,11.0,11.0
212,12.0,11.0,11.0,11.0
213,12.0,11.0,11.0,11.0
214,12.0,11.0,11.0,11.0
215,12.0,11.0,11.0,11.0
216,12.0,11.0,11.0,11.0
217,12.0,11.0,11.0,11.0
218,12.0,11.0,11.0,11.0
219,12.0,11.0,11.0,11.0
220,12.0,11.0,11.0,11.0
221,12.0,11.0,11.0,11.0
222,12.0,11.0,11.0,11.0
223,12.0,11.0,11.0,11.0
224,12.0,11.0,11.0,11.0
225,12.0,11.0,11.0,11.0
226,12.0,11.0,11.0,11.0
227,12.0,11.0,11.0,11.0
228,13.0,11.0,12.0,11.0
229,12.0,11.0,11.0,11.0
230,12.0,11.0,11.0,11.0
231,12.0,11.0,11.0,11.0
232,12.0,11.0,11.0,11.0
233,12.0,11.0,11.0,11.0
234,12.0,11.0,11.0,11.0
235,12.0,11.0,11.0,11.0
236,12.0,11.0,11.0,12.0
237,12.0,11.0,11.0,12.0
238,12.0,11.0,11.0,11.0
239,12.0,11.0,11.0,11.0
240,12.0,11.0,11.0,11.0
241,12.0,11.0,11.0,11.0
