,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
223,51.0,218.0,8.0
224,51.0,218.0,8.0
225,34.0,233.0,7.0
226,34.0,233.0,7.0
227,11.0,234.0,4.0
228,11.0,234.0,4.0
229,13.0,155.0,6.0
230,13.0,155.0,6.0
231,12.0,135.0,5.0
232,12.0,135.0,5.0
233,10.0,151.0,4.0
234,10.0,151.0,4.0
235,8.0,171.0,4.0
236,8.0,171.0,4.0
237,8.0,200.0,3.0
238,8.0,200.0,3.0
239,7.0,222.0,0.0
240,7.0,222.0,0.0
241,4.0,217.0,0.0
242,4.0,217.0,0.0
243,5.0,225.0,0.0
244,5.0,225.0,0.0
245,5.0,240.0,5.0
246,5.0,240.0,5.0
247,0.0,234.0,5.0
248,0.0,234.0,5.0
249,0.0,275.0,0.0
250,0.0,275.0,0.0
251,4.0,277.0,0.0
252,4.0,277.0,0.0
253,4.0,282.0,2.0
254,4.0,282.0,2.0
255,7.0,211.0,2.0
256,7.0,211.0,2.0
257,5.0,191.0,1.0
258,5.0,191.0,1.0
259,4.0,186.0,1.0
260,4.0,186.0,1.0
261,1.0,216.0,2.0
262,1.0,216.0,2.0
263,1.0,282.0,4.0
264,1.0,282.0,4.0
265,0.0,146.0,26.0
266,0.0,146.0,26.0
267,3.0,190.0,26.0
268,3.0,190.0,26.0
269,4.0,1837.0,0.0
270,4.0,1837.0,0.0
271,17.0,2123.0,7.0
272,17.0,2123.0,7.0
273,21.0,3397.0,9.0
274,21.0,3397.0,9.0
275,19.0,2564.0,17.0
276,19.0,2564.0,17.0
277,13.0,1151.0,31.0
278,13.0,1151.0,31.0
279,11.0,1154.0,34.0
280,11.0,1154.0,34.0
281,13.0,1485.0,31.0
282,13.0,1485.0,31.0
283,13.0,1165.0,26.0
284,13.0,1165.0,26.0
285,30.0,882.0,23.0
286,30.0,882.0,23.0
287,20.0,1056.0,33.0
288,20.0,1056.0,33.0
289,17.0,968.0,47.0
290,17.0,968.0,47.0
291,12.0,898.0,51.0
292,12.0,898.0,51.0
293,11.0,902.0,41.0
294,11.0,902.0,41.0
295,0.0,1082.0,37.0
296,0.0,1082.0,37.0
297,0.0,1081.0,43.0
298,0.0,1081.0,43.0
299,0.0,910.0,45.0
300,0.0,910.0,45.0
301,4.0,998.0,49.0
302,4.0,998.0,49.0
303,4.0,805.0,51.0
304,4.0,805.0,51.0
305,0.0,951.0,53.0
306,0.0,951.0,53.0
307,0.0,1048.0,78.0
308,0.0,1048.0,78.0
309,7.0,1159.0,103.0
310,7.0,1159.0,103.0
311,9.0,92.0,71.0
312,9.0,92.0,71.0
313,11.0,62.0,22.0
314,11.0,62.0,22.0
315,9.0,85.0,26.0
316,9.0,85.0,26.0
317,8.0,108.0,23.0
318,8.0,108.0,23.0
319,8.0,121.0,24.0
320,8.0,121.0,24.0
321,9.0,155.0,29.0
322,9.0,155.0,29.0
323,9.0,119.0,41.0
324,9.0,119.0,41.0
325,11.0,127.0,51.0
326,11.0,127.0,51.0
327,11.0,170.0,55.0
328,11.0,170.0,55.0
329,8.0,170.0,41.0
330,8.0,170.0,41.0
331,8.0,165.0,23.0
332,8.0,165.0,23.0
333,0.0,206.0,6.0
334,0.0,206.0,6.0
335,4.0,240.0,9.0
336,4.0,240.0,9.0
337,4.0,188.0,1.0
338,4.0,188.0,1.0
339,7.0,184.0,1.0
340,7.0,184.0,1.0
341,7.0,191.0,0.0
342,7.0,191.0,0.0
343,0.0,172.0,0.0
344,0.0,172.0,0.0
345,0.0,168.0,0.0
346,0.0,168.0,0.0
347,0.0,148.0,0.0
348,0.0,148.0,0.0
349,13.0,35.0,0.0
350,13.0,35.0,0.0
351,13.0,39.0,0.0
352,13.0,39.0,0.0
353,0.0,43.0,10.0
354,0.0,43.0,10.0
355,0.0,62.0,10.0
356,0.0,62.0,10.0
357,0.0,62.0,0.0
358,0.0,62.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,14.0,0.0
362,0.0,14.0,0.0
363,0.0,26.0,0.0
364,0.0,26.0,0.0
365,24.0,50.0,0.0
366,24.0,50.0,0.0
367,54.0,50.0,5.0
368,54.0,50.0,5.0
369,57.0,37.0,5.0
370,57.0,37.0,5.0
371,57.0,25.0,3.0
372,57.0,25.0,3.0
373,18.0,38.0,3.0
374,18.0,38.0,3.0
375,13.0,38.0,3.0
376,13.0,38.0,3.0
377,10.0,32.0,4.0
378,10.0,32.0,4.0
379,13.0,43.0,6.0
380,13.0,43.0,6.0
381,0.0,50.0,9.0
382,0.0,50.0,9.0
383,8.0,42.0,12.0
384,8.0,42.0,12.0
385,8.0,67.0,15.0
386,8.0,67.0,15.0
387,0.0,71.0,10.0
388,0.0,71.0,10.0
389,16.0,73.0,13.0
390,16.0,73.0,13.0
391,9.0,85.0,16.0
392,9.0,85.0,16.0
393,9.0,92.0,23.0
394,9.0,92.0,23.0
395,32.0,119.0,22.0
396,32.0,119.0,22.0
397,37.0,153.0,20.0
398,37.0,153.0,20.0
399,2.0,158.0,30.0
400,2.0,158.0,30.0
401,23.0,190.0,31.0
402,23.0,190.0,31.0
403,20.0,190.0,31.0
404,20.0,190.0,31.0
405,15.0,192.0,37.0
406,15.0,192.0,37.0
407,13.0,194.0,35.0
408,13.0,194.0,35.0
409,9.0,195.0,20.0
410,9.0,195.0,20.0
411,15.0,209.0,22.0
412,15.0,209.0,22.0
413,18.0,195.0,20.0
