,hospital-er-wait-minutes-columbus_midtown_peds,hospital-er-wait-minutes-columbus_midtown,hospital-er-wait-minutes-columbus_northside
971,11.0,177.0,44.0
972,17.0,127.0,37.0
973,13.0,126.0,35.0
974,13.0,126.0,35.0
975,17.0,137.0,44.0
976,17.0,137.0,44.0
977,25.0,146.0,37.0
978,25.0,146.0,37.0
979,27.0,137.0,27.0
980,27.0,137.0,27.0
981,25.0,134.0,34.0
982,25.0,134.0,34.0
983,27.0,162.0,38.0
984,27.0,162.0,38.0
985,24.0,178.0,47.0
986,24.0,178.0,47.0
987,19.0,206.0,71.0
988,19.0,206.0,71.0
989,20.0,225.0,55.0
990,20.0,225.0,55.0
991,30.0,189.0,41.0
992,30.0,189.0,41.0
993,18.0,204.0,41.0
994,18.0,204.0,41.0
995,11.0,252.0,46.0
996,11.0,252.0,46.0
997,14.0,246.0,40.0
998,14.0,246.0,40.0
999,11.0,263.0,33.0
